"","game_id","play_id","event_game_index","rusher_name","blocker_name","beat_time","beat_dist","rusher_won","double_team"
"48",1069714,"a387c7d9-23d4-4237-b304-edd858c47a76",965,"Lorenzo Carter","Jake Matthews",NA,NA,0,0
"49",1069714,"a387c7d9-23d4-4237-b304-edd858c47a76",967,"Tae Crowder","Kaleb McGary",NA,NA,0,1
"50",1069714,"a387c7d9-23d4-4237-b304-edd858c47a76",969,"Leonard Williams","Jalen Mayfield",NA,NA,0,1
"51",1069714,"a387c7d9-23d4-4237-b304-edd858c47a76",978,"Oshane Ximines","Chris Lindstrom",NA,NA,0,1
"52",1069714,"7ab385b9-5539-4f50-a000-5cba4db6fb6f",1003,"Tyeler Davison","Billy Price",NA,NA,0,1
"53",1069714,"7ab385b9-5539-4f50-a000-5cba4db6fb6f",1009,"Tyeler Davison","Will Hernandez",NA,NA,0,1
"54",1069714,"7ab385b9-5539-4f50-a000-5cba4db6fb6f",1012,"Adetokunbo Ogundeji","Nate Solder",NA,NA,0,0
"55",1069714,"7ab385b9-5539-4f50-a000-5cba4db6fb6f",1018,"Jonathan Bullard","Andrew Thomas",NA,NA,0,0
"56",1069714,"7facc68d-0077-4ed9-a29c-c40f8c6b6a41",1103,"Tyeler Davison","Will Hernandez",NA,NA,0,1
"57",1069714,"7facc68d-0077-4ed9-a29c-c40f8c6b6a41",1106,"Jonathan Bullard","Billy Price",NA,NA,0,0
"58",1069714,"7facc68d-0077-4ed9-a29c-c40f8c6b6a41",1109,"Jacob Tuioti-Mariner","Andrew Thomas",NA,NA,0,1
"59",1069714,"7facc68d-0077-4ed9-a29c-c40f8c6b6a41",1113,"Tyeler Davison","Nate Solder",NA,NA,0,1
"60",1069714,"7facc68d-0077-4ed9-a29c-c40f8c6b6a41",1118,"Jacob Tuioti-Mariner","Ben Bredeson",NA,NA,0,1
"61",1069714,"47edd1ea-163d-4cf1-8b07-22d4f57abaf9",1143,"Grady Jarrett","Andrew Thomas",NA,NA,0,0
"62",1069714,"47edd1ea-163d-4cf1-8b07-22d4f57abaf9",1146,"Marlon Davidson","Will Hernandez",NA,NA,0,0
"63",1069714,"47edd1ea-163d-4cf1-8b07-22d4f57abaf9",1148,"Jacob Tuioti-Mariner","Nate Solder",NA,NA,0,1
"64",1069714,"47edd1ea-163d-4cf1-8b07-22d4f57abaf9",1153,"Jacob Tuioti-Mariner","Will Hernandez",NA,NA,0,1
"65",1069714,"47edd1ea-163d-4cf1-8b07-22d4f57abaf9",1156,"Dante Fowler Jr.","Ben Bredeson",NA,NA,0,0
"66",1069714,"1470ce2a-5365-44bb-ba64-7b8b216c4049",1199,"Dexter Lawrence","Chris Lindstrom",NA,NA,0,1
"67",1069714,"1470ce2a-5365-44bb-ba64-7b8b216c4049",1200,"Dexter Lawrence","Matt Hennessy",NA,NA,0,1
"68",1069714,"1470ce2a-5365-44bb-ba64-7b8b216c4049",1202,"Danny Shelton","Jalen Mayfield",NA,NA,0,0
"69",1069714,"1470ce2a-5365-44bb-ba64-7b8b216c4049",1205,"Raymond Johnson III","Jake Matthews",NA,NA,0,0
"70",1069714,"1470ce2a-5365-44bb-ba64-7b8b216c4049",1209,"Oshane Ximines","Kaleb McGary",NA,NA,0,0
"71",1069714,"e9f61585-7474-4daa-92a6-11b45996e1cf",1239,"Danny Shelton","Matt Hennessy",NA,NA,0,1
"72",1069714,"e9f61585-7474-4daa-92a6-11b45996e1cf",1242,"Dexter Lawrence","Kaleb McGary",NA,NA,0,1
"73",1069714,"e9f61585-7474-4daa-92a6-11b45996e1cf",1243,"Dexter Lawrence","Chris Lindstrom",NA,NA,0,1
"74",1069714,"e9f61585-7474-4daa-92a6-11b45996e1cf",1252,NA,"Jake Matthews",NA,NA,0,0
"75",1069714,"e9f61585-7474-4daa-92a6-11b45996e1cf",1256,"Danny Shelton","Chris Lindstrom",NA,NA,0,1
"76",1069714,"94630491-8983-4840-a164-e28f019e51b1",1306,"Dexter Lawrence","Matt Hennessy",NA,NA,0,0
"77",1069714,"94630491-8983-4840-a164-e28f019e51b1",1312,"Oshane Ximines","Kaleb McGary",NA,NA,0,0
"78",1069714,"94630491-8983-4840-a164-e28f019e51b1",1315,"Lorenzo Carter","Jake Matthews",NA,NA,0,0
"79",1069714,"94630491-8983-4840-a164-e28f019e51b1",1319,"Leonard Williams","Jalen Mayfield",2.84698700000001,2.65858985178234,1,1
"80",1069714,"94630491-8983-4840-a164-e28f019e51b1",1322,"Leonard Williams","Chris Lindstrom",2.84698700000001,2.65858985178234,1,1
"81",1069714,"1c037c1c-d298-43f9-b376-998c6ec8440f",1361,"Jonathan Bullard","Andrew Thomas",NA,NA,0,1
