player_name,final_elo,role
Tyeler Davison,871.2850814753555,Rusher
Billy Price,1045.1849574638509,Blocker
Marlon Davidson,789.076173242957,Rusher
Will Hernandez,1054.4953258127096,Blocker
Nate Solder,1038.3189566714486,Blocker
Ben Bredeson,1067.854694109722,Blocker
Adetokunbo Ogundeji,759.2852659610353,Rusher
Andrew Thomas,1064.5452494840654,Blocker
Grady Jarrett,859.3315640997982,Rusher
Steven Means,783.7767956608116,Rusher
Dexter Lawrence,877.8328377505047,Rusher
Chris Lindstrom,1035.9990565747903,Blocker
Leonard Williams,842.4734548462294,Rusher
Jalen Mayfield,999.1041858436137,Blocker
Matt Hennessy,1050.0879454328913,Blocker
Lorenzo Carter,776.0783313166136,Rusher
Kaleb McGary,996.7328796297196,Blocker
Azeez Ojulari,764.2620471575541,Rusher
Jake Matthews,1041.9530511805192,Blocker
Quincy Roche,787.0778408883401,Rusher
Oshane Ximines,772.6358847226957,Rusher
Jonathan Bullard,846.0256794265973,Rusher
Ta'Quon Graham,836.5794522272979,Rusher
Austin Johnson,810.9791216868505,Rusher
Danny Shelton,779.8509362702615,Rusher
Raymond Johnson III,767.4139558917652,Rusher
Dante Fowler Jr.,804.9180055944199,Rusher
Deion Jones,814.2926244533679,Rusher
Brandon Copeland,800.6541737187415,Rusher
Carter Coughlin,798.358691900473,Rusher
Jacob Tuioti-Mariner,781.6739954305078,Rusher
Jason Spriggs,1064.3787349988452,Blocker
Reggie Ragland,746.2536038765423,Rusher
Tae Crowder,720.593755401385,Rusher
Foyesade Oluokun,794.8812660324096,Rusher
Mykal Walker,788.5965228836945,Rusher
Christian Barmore,852.1552803847345,Rusher
Justin Britt,987.4708112559562,Blocker
Matthew Judon,805.5021708256204,Rusher
Charlie Heck,1005.5580214595459,Blocker
Josh Uche,888.7909438701158,Rusher
Laremy Tunsil,1009.1094886024536,Blocker
Max Scharping,1010.7758038711979,Blocker
Dont'A Hightower,729.8718360664918,Rusher
Tytus Howard,1031.5877199015479,Blocker
Maliek Collins,856.4966700865973,Rusher
Ted Karras,975.2497061453505,Blocker
Demarcus Walker,859.6212670397699,Rusher
James Ferentz,1058.7235269746031,Blocker
Jonathan Greenard,837.1201827607442,Rusher
Justin Herron,969.7164186641905,Blocker
Yodny Cajuste,1061.563151436611,Blocker
Jacob Martin,837.7642397289688,Rusher
David Andrews,1011.336669811336,Blocker
Lawrence Guy,829.7142526967183,Rusher
Davon Godchaux,807.0154308055745,Rusher
Deatrich Wise Jr.,835.104658807127,Rusher
Geron Christian Sr.,1014.1926407511845,Blocker
Carl Davis Jr.,820.9907114883234,Rusher
Kyle Van Noy,771.6590316456828,Rusher
Jaleel Johnson,797.4723558678639,Rusher
Whitney Mercilus,750.817516898575,Rusher
Roy Lopez,772.5972623177544,Rusher
Jordan Jenkins,886.918216475045,Rusher
Ja'Whaun Bentley,773.5500251051069,Rusher
Kamu Grugier-Hill,786.3686729195344,Rusher
Eric Wilson,752.5034248120186,Rusher
Chase Winovich,770.7183923757899,Rusher
Johnathan Hankins,784.373239796524,Rusher
Sam Mustipher,1041.4154300269165,Blocker
Quinton Jefferson,835.1996590588174,Rusher
James Daniels,1068.5328487409868,Blocker
Germain Ifedi,1072.7777862125101,Blocker
Maxx Crosby,801.1792593708117,Rusher
Alex Barshaba,1110.136936553414,Blocker
Yannick Ngakoue,815.8509958634919,Rusher
Jason Peters,1061.2700029224966,Blocker
Darius Philon,869.3071971375906,Rusher
Elijah Wilkinson,1082.4875146096751,Blocker
Cody Whitehair,1107.153578595553,Blocker
Bilal Nichols,798.8389712712566,Rusher
Andre James,959.0186819925658,Blocker
Alec Ogletree,756.9316324876401,Rusher
Brandon Parker,993.4209569592232,Blocker
Angelo Blackson,767.9666635616105,Rusher
Alex Leatherwood,991.4926672907692,Blocker
Mario Edwards Jr.,803.8627190292028,Rusher
John Simpson,1014.7518679091415,Blocker
Jeremiah Attaochu,813.9178429767151,Rusher
Kolton Miller,1020.3592240154991,Blocker
Khalil Mack,835.1820507977777,Rusher
Robert Quinn,847.3019253664813,Rusher
Eddie Goldman,830.9948716315714,Rusher
Roquan Smith,770.2311756840518,Rusher
Solomon Thomas,835.2034220708989,Rusher
Trevis Gipson,837.8119053475102,Rusher
Carl Nassib,759.0487150954641,Rusher
Clelin Ferrell,882.8836821180145,Rusher
Khyiris Tonga,782.9213873028065,Rusher
Arik Armstead,835.8207345268637,Rusher
Max Garcia,997.258544738146,Blocker
Samson Ebukam,847.3351013400905,Rusher
Kelvin Beachum,1079.0148857859717,Blocker
Justin Pugh,1020.5111624771132,Blocker
Josh Jones,998.1331607508047,Blocker
D.J. Humphries,986.4075120171864,Blocker
Nick Bosa,807.6117252471826,Rusher
Dee Ford,797.4646658577029,Rusher
Javon Kinlaw,787.7108257223803,Rusher
Rashard Lawrence,780.1849721436841,Rusher
Trent Williams,1102.4839348255177,Blocker
Rodney Hudson,1046.6168479018315,Blocker
D.J. Jones,870.4322569650486,Rusher
Kentavius Street,832.6011236444588,Rusher
Arden Key,828.3662894583262,Rusher
Azeez Al-Shaair,751.8974620802359,Rusher
Zach Allen,809.500266247992,Rusher
Laken Tomlinson,1090.6161018162059,Blocker
J.J. Watt,876.1161525005865,Rusher
Daniel Brunskill,1047.472253544113,Blocker
Mike Mcglinchey,1108.1231122890351,Blocker
Alex Mack,1065.2906968665848,Blocker
Chandler Jones,793.0241588313528,Rusher
Corey Peters,760.8376763353187,Rusher
Isaiah Simmons,833.0541605985044,Rusher
Markus Golden,787.2943884459768,Rusher
Dennis Gardeck,828.9556983463063,Rusher
Leki Fotu,779.1773679259729,Rusher
Maurice Hurst,799.6833307236179,Rusher
Fred Warner,698.8775322368984,Rusher
Jordan Hicks,856.4775578125788,Rusher
Zaven Collins,740.048988113821,Rusher
Sean Harlow,1049.3437950978887,Blocker
Bravvion Roy,805.3752456913064,Rusher
Daquan Jones,894.9151212943876,Rusher
Isaiah Wynn,977.9947927580918,Blocker
Shaq Mason,1015.3177196996097,Blocker
Haason Reddick,773.2420788066152,Rusher
Mike Onwenu,1084.4707944783615,Blocker
Brian Burns,749.4540558105657,Rusher
Morgan Fox,828.9651960809822,Rusher
Trent Scott,1008.7917737514216,Blocker
Michael Jordan,1042.9251994053216,Blocker
Taylor Moton,1030.8603594791011,Blocker
Dennis Daley,1001.9493573393495,Blocker
Sam Tecklenburg,1127.638177555445,Blocker
Cameron Erving,1036.13714153493,Blocker
Jamie Collins Sr.,794.5675860541282,Rusher
Derrick Brown,850.9704752875776,Rusher
Yetur Gross-Matos,756.7915842218811,Rusher
Shaq Thompson,704.5063333494221,Rusher
Marquis Haynes Sr.,731.8033607789362,Rusher
Jermaine Carter Jr.,816.2743949293833,Rusher
Frankie Luvu,732.0985908848864,Rusher
Joe Thuney,1104.775745014544,Blocker
Trey Smith,1019.8732683300324,Blocker
Orlando Brown,1021.945877415234,Blocker
Andrew Wylie,1037.5237725566599,Blocker
Damion Square,782.7744062142226,Rusher
Creed Humphrey,1048.3660252307734,Blocker
Denzel Perryman,740.1968613914003,Rusher
Tershawn Wharton,865.0832996975516,Rusher
Frank Clark,779.7001916019627,Rusher
Chris Jones,818.7823724649652,Rusher
Alex Okafor,785.3355851698267,Rusher
Derrick Nnadi,857.9162542857905,Rusher
Mike Danna,774.8815298217767,Rusher
Jarran Reed,836.2416604039681,Rusher
Melvin Ingram,801.7391903217562,Rusher
Ben Niemann,723.969749488235,Rusher
Cory Littleton,743.9310830284597,Rusher
Nick Allegretti,1068.1096010876038,Blocker
Nick Bolton,799.1705612835327,Rusher
Anthony Hitchens,787.1816736040673,Rusher
Willie Gay,817.7493712646376,Rusher
Dean Lowry,783.8807956591348,Rusher
Gabe Jackson,1136.4234870023217,Blocker
Kenny Clark,791.0258122082425,Rusher
Damien Lewis,1045.5377293442575,Blocker
Ethan Pocic,1099.4171463808218,Blocker
Duane Brown,1010.152055394879,Blocker
Jonathan Garvin,832.7038622750379,Rusher
