"play_uuid","game_id","sack_player","sack"
"7cc1dc96-ba92-40b9-9498-faff2cba12b3",1072024,"Jerome Baker",1
"47834913-6074-4f2c-a90a-0acc78904d21",1072046,"Akiem Hicks",1
"e9cee2c5-235d-4652-9dab-fd05a0a95c31",1072046,"Robert Quinn",1
"65e75b68-d71b-4a56-a4f9-5a059f2fbb4b",1072046,"D.J. Wonnum",1
"e3365976-f3f9-45c4-815b-43d3681c9175",1072046,"Robert Quinn",1
"da5e97d5-6867-4e62-87a9-65f669ac6f66",1072046,"D.J. Wonnum",1
"03854e15-f901-4577-a624-82338dc11768",1072046,"D.J. Wonnum",1
"b0e5cf58-70b1-4ce7-aa66-6667f179d348",1072046,"Akiem Hicks",1
"b209c719-1808-48d5-bbea-6aa2ed36ce7a",1072050,"Bunmi Rotimi",1
"26d6d473-d24e-4ba0-9c1b-db8da7d4b55c",1072050,"Montez Sweat",1
"28aabe9e-e80e-4053-9f3b-7dc6e060c2d3",1072050,"Fletcher Cox",1
"aa6ef333-9bbe-4eef-a58b-ae265359f929",1072050,"Jonathan Allen",1
"1d757efd-61aa-4a8a-9d43-3ffd74d40ce6",1072050,"Fletcher Cox",1
"b3bf4f29-7360-4227-ad9d-62102adb7a4c",1072056,"Lorenzo Carter",1
"7f36b17b-8433-43a5-9d98-62952476fb8b",1072056,"Josh Sweat",1
"baeca541-8cf3-431b-b7e4-a805e7713f59",1072056,"Milton Williams",1
"1beb0dbe-a985-4f10-8e3c-22adbb08b52e",1072064,"C.J. Mosley",1
"c3951958-13c0-4399-8ed5-28a63e42f450",1072064,"Jihad Ward",1
"f77e8d35-8887-48ea-a252-561f078f42ba",1072066,"Derrick Barnes",1
"ce0c4694-304e-4b28-805e-3926f8e34e14",1072066,"Alim Mcneill",1
"d4fdca52-6728-460f-95ae-f15f018f47f8",1072066,"Austin Bryant",1
"91d953af-c068-482d-91b3-ff344f038ba3",1072068,"Jerry Tillery",1
"7d6c6f9d-4fa8-49ce-9756-45eb845ccab6",1072068,"Demone Harris",1
"65820e7d-e87e-440f-a99a-7642c9bf67fa",1072068,"Michael Dwumfour",1
"7926dc5f-7067-4263-910a-e6c86d0f23f6",1072070,"Bilal Nichols",1
"97790527-ed8a-4083-b234-2e13c5b3afed",1072070,"Rasheem Green",1
"3945450b-44e3-4a88-b5d4-e6f789890f65",1072070,"Al Woods",1
"bcf4b3d9-23d7-4e05-a816-6cc378770a18",1072070,"Rasheem Green",1
"6e5e003c-4129-49e5-b973-931325e2ec80",1072070,"Robert Quinn",1
"ba0228a0-b6ec-4676-afb7-bc475f7ca3b0",1072070,"Carlos Dunlap",1
"1f9a9220-5f3e-447a-a4be-b0445e482b29",1072072,"Frank Clark",1
"9dd18434-0d15-4bde-a2fb-83728ceeb332",1072072,"Alex Highsmith",1
"70a3495f-96c7-4f64-8004-6434f73580cd",1072072,"Cameron Heyward",1
"8d2242b6-4313-48fa-b15b-9e958b349e7d",1072072,"Tershawn Wharton",1
"be4b7297-dce6-469a-b24e-5d6f8a176e18",1072081,"Josh Sweat",1
"6b866083-a348-478a-832a-79b9971aeb0b",1072081,"Jamin Davis",1
"7b810fb7-06b6-4796-809a-69ca7c8a7d85",1072081,"Josh Sweat",1
"2c87a75d-1372-4933-9124-005fd7869254",1072081,"Genard Avery",1
"dabe756a-ac57-46c7-b289-072a6371cb88",1072089,"Kwity Paye",1
"aad10ff6-007e-4afa-a254-6e9855bed336",1072089,"Deforest Buckner",1
"3cd693ae-b5d5-4f2e-b932-b94ac7c0e0b7",1072089,"Yannick Ngakoue",1
"6307e774-a61a-497d-aaa5-3b2b1d62d210",1072097,"Arik Armstead",1
"439a28e5-3720-4226-b27e-766efeff2180",1072097,"Arden Key",1
"3305b6c3-68be-410c-b20c-845d24d811fb",1072099,"Jerry Tillery",1
"d99313bc-c1c8-4e37-86d6-0b20bbb92016",1072101,"Cameron Jordan",1
"7a00937f-99b5-4417-aaf3-ebfed0d08c5b",1072101,"P.J. Williams",1
"0c2cf93a-e874-4f2e-9ae8-88b8884e9257",1072101,"Derrick Brown",1
"3a937847-af9a-4e70-950f-cb60f93817d1",1072101,"Jeff Heath",1
"75c54498-effa-4aea-8fc1-c38259990bb7",1072101,"Jeremy Chinn",1
"332a3944-d816-4e4f-b6b7-0cec4194d73b",1072101,"C.J. Gardner-Johnson",1
"f0551446-58a7-407a-bbf6-e262c45d2ff9",1072101,"Cameron Jordan",1
"c5641d1f-c42b-4fca-aaa7-369b146682ea",1072103,"Austin Bryant",1
"fb333073-c842-408d-8d06-4608b3376e51",1072103,"Bryan Mone",1
"fb2e34cb-b4c7-4dde-9313-6a7345a51b06",1072105,"Budda Baker",1
"58d310d0-0853-4b91-98cc-1dfa2df1624e",1072105,"Chandler Jones",1
"f33426ba-16a3-4f51-8975-b85db16b3d9f",1072105,"Dorance Armstrong",1
"92eafc41-5244-4150-ae4f-698afaa68511",1072107,"Rashan Gary",1
"36797dab-4079-4796-8f4a-8c0b044cd173",1072107,"Preston Smith",1
"4e46118b-7c6d-403d-b159-a46e1f4574dd",1072109,"Shelby Harris",1
"99021c5e-e0b5-411c-972b-0047f3cd311a",1072109,"Derrick Nnadi",1
"461897c8-378b-4a76-879e-a0006170abed",1072111,"Trysten Hill",1
"0d55a6da-dced-45ab-bb92-0c9614f1cc51",1072111,"Raequan Williams",1
"b8d1ebd8-15f6-4743-a025-8cc3b1becccb",1072111,"DeMarcus Lawrence",1
"e3b1f5ad-a246-4ac8-b832-1bcb93afa29c",1072111,"Tarell Basham",1
"9fbfa6ce-307a-4b29-a2df-d71374956543",1072111,"Tarell Basham",1
"eff33671-b4e7-4434-a7ee-7c90be20f200",1072113,"Vernon Butler",1
"51898d51-35ea-4d32-af48-655940df7364",1072113,"Mario Addison",1
"5de0f304-6c7d-42de-8929-47efae0c68a5",1072113,"Jordan Poyer",1
"a5c7badf-a2e3-42c5-922d-71abb849b85c",1072113,"Ed Oliver",1
"ac851d6c-48b7-45ed-8a1f-3ad5f94e0652",1072113,"Mario Addison",1
"b939f2f0-fdc9-4e3f-ab41-ff0a522cc12a",1072113,"Matt Milano",1
"d9b5aae3-9817-4170-b559-bbb8de7b4457",1072113,"Jerry Hughes",1
"6e049ae9-94ca-4d82-b025-e77604a428a5",1072113,"A.J. Epenesa",1
"142bb544-5439-484c-926d-363eed3e8f28",1072115,"Julian Okwara",1
"f3d79b8b-c7d8-48d8-a248-81255b2d6e2a",1072115,"Dean Lowry",1
"32bee8f4-b7fd-4bf5-94fb-e27af1a2a3f4",1072115,"Jessie Lemonier",1
"2d09d6c3-7a23-425d-b606-bd96c3d5654f",1072115,"Julian Okwara",1
"c0bf1d58-d8ba-487c-ad25-0d279969616c",1072117,"Al-Quadin Muhammad",1
"7ba3069c-2fe9-4dc6-9e22-3a3d115893ca",1072117,"Josh Allen",1
"6be2c6e3-8c87-4135-bd37-20d14d4b5d50",1072117,"Josh Allen",1
"c442e744-c47c-4261-ba2d-d53b6db7be7c",1072117,"Damien Wilson",1
"3e7e57d3-81bb-41dd-825c-faf920a9bf8a",1072117,"Malcom Brown",1
"f10a30a1-9188-41cf-a212-3f9988e4016d",1072117,"Dawuane Smoot",1
"16a45877-3633-47a1-9672-7b326d2c6932",1072117,"Adam Gotsis",1
"644d0d31-0ba1-4f02-bbe8-fb5a569f1da9",1072119,"Uchenna Nwosu",1
"453f3c55-2862-420c-acb8-901a2f1f8c28",1072119,"Justin Jones",1
"946592b1-b867-436d-8f93-88f675292a41",1072119,"Quinton Jefferson",1
"2c4a76ac-358d-4240-a10a-7aa8291ee152",1072119,"Maxx Crosby",1
"558100fd-bb74-42dd-9198-e1c9dd5ef407",1072119,"Joey Bosa",1
"ce245c08-a58c-4584-8fc1-254bc6c3ef42",1072121,"Logan Ryan",1
"ca207e82-da68-4fdc-aca4-535b5d3858da",1072121,"Jonathan Allen",1
"2dbc79ff-b500-4e45-9743-bef6d6263e6d",1072121,"Lorenzo Carter",1
"2097bdac-e0a8-45cb-8386-d2e1d2d83f2e",1072121,"Leonard Williams",1
"4421ed48-0616-4436-8f27-4eaae991d746",1072121,"Matt Ioannidis",1
"9c1361cc-3dbb-4bf5-8fa3-60a54a0d72bd",1072121,"Shaka Toney",1
"60287e93-7491-401a-9f95-563582298c7f",1072123,"Trey Hendrickson",1
"2d03e55d-cd21-4b1d-ae51-b7811f5ac50c",1072123,"Sam Hubbard",1
"04014b93-71fc-4aa1-b86f-dac4ee6b1beb",1072123,"Quinton Jefferson",1
"16eb0d52-5bc0-44ef-937d-c3c7d0ced724",1072123,"Maxx Crosby",1
"d767abba-9e8d-4b9e-94e8-7af01c1da8d8",1072123,"B.J. Hill",1
"f80360af-7be7-4493-a4df-ed8f19ce5ed5",1072125,"Angelo Blackson",1
"683ea0f4-0a2f-4543-8241-202c6739e08c",1072125,"D.J. Wonnum",1
"9e3430db-3d74-4213-8b77-9a8e48654f7e",1072125,"Mario Edwards Jr.",1
"d5c408a3-4469-41cb-a876-c3cc0c50a062",1072125,"D.J. Wonnum",1
"010a41fb-3ff9-4e3b-9352-468cb99941ac",1072125,"Anthony Barr",1
"5e134da0-dbab-43c3-b23a-553212c7defa",1072125,"Robert Quinn",1
"f7b28198-a85c-4384-b159-0fae107081d3",1072125,"Dalvin Tomlinson",1
"d15f0772-e076-4516-bc04-6853222181e9",1072125,"Kenny Willekes",1
"a59e0d98-2f7e-4bb5-b22d-0e745e915614",1072125,"Kenny Willekes",1
"0073b416-fd5e-4954-b2ff-2c01a627e80f",1072127,"Kyle Peko",1
"3d11a397-1da9-428b-b266-866327a5d717",1072127,"Maliek Collins",1
"66b42244-9476-41f8-b50b-7ac2d07a07a1",1072127,"Jeffery Simmons",1
"14dab63e-94e2-49d2-adf0-b546877aa7dd",1072129,"Carlos Basham Jr.",1
"bf9f98ce-5745-48fe-9f0a-139ee42a3c61",1072131,"Arik Armstead",1
"536d987a-c88f-4276-a755-8a8db72ba158",1072131,"A'Shawn Robinson",1
"adcab1c2-58d4-4d9a-a171-7b2cc8d20757",1072131,"Troy Reeder",1
"7dbdbc1a-ec59-45cb-8bfb-2bf39e332388",1072131,"D.J. Jones",1
"458eeaaa-b9ac-4b7a-9bb9-9f16208a7705",1072131,"Fred Warner",1
"eb7e21c0-ef0c-4768-ae5a-de2b16a85a82",1072131,"Von Miller",1
"f7042c3f-8368-4e54-ab38-ab93fbd8ffce",1072131,"Arik Armstead",1
"5a2129c6-425c-4bbd-9895-5db5835cc6fd",1072133,"Antoine Winfield Jr.",1
"780cdd13-77bc-4027-b629-a9c1e81a93f3",1072133,"Javon Hargrave",1
"fb165c1d-fee7-4051-be17-416d9235a34f",1072133,"Javon Hargrave",1
"a6b5170f-dcc9-4177-aa22-169e9cb9a56f",1072133,"Ryan Kerrigan",1
"b115954e-ad8a-4d6e-bc73-52094487c360",1072133,"Alex Singleton",1
"2e7fd505-4f07-4457-9193-c049542156d3",1072135,"Myles Hartsfield",1
"01166634-23d5-4a89-b7d7-527129d0da1f",1072135,"Anthony Nelson",1
"d7fc4da2-b93f-4baa-93f9-c3adcc6b0bd7",1072137,"Rashard Lawrence",1
"fb971ead-69a8-459a-b547-17a64fd9e4c1",1072137,"Darrell Taylor",1
