player_name,final_elo,role
Dennis Gardeck,726.0364727023496,Rusher
Leki Fotu,696.8353971279598,Rusher
Maurice Hurst,746.3492246776588,Rusher
Fred Warner,727.7780141883921,Rusher
Jordan Hicks,739.040032026461,Rusher
Zaven Collins,731.3191531417763,Rusher
Sean Harlow,1131.9748774533396,Blocker
Bravvion Roy,711.8172148164635,Rusher
Daquan Jones,751.3692887353335,Rusher
Isaiah Wynn,1138.4225217077478,Blocker
Shaq Mason,1158.5417642534396,Blocker
Haason Reddick,726.1530814583756,Rusher
Mike Onwenu,1173.8499165521173,Blocker
Brian Burns,707.3704964164879,Rusher
Morgan Fox,717.7862075846161,Rusher
Trent Scott,1127.708646423504,Blocker
Michael Jordan,1143.526059730619,Blocker
Taylor Moton,1165.5688806766216,Blocker
Dennis Daley,1095.637009259722,Blocker
Sam Tecklenburg,1145.4764301461685,Blocker
Cameron Erving,1141.6661238544236,Blocker
Jamie Collins Sr.,736.7346624852627,Rusher
Derrick Brown,746.4860953171845,Rusher
Yetur Gross-Matos,766.7807904281875,Rusher
Shaq Thompson,709.5470335126798,Rusher
Marquis Haynes Sr.,778.3482202769036,Rusher
Jermaine Carter Jr.,743.6809981394504,Rusher
Frankie Luvu,718.7625246375289,Rusher
Joe Thuney,1213.0281707154138,Blocker
Trey Smith,1148.6569878377063,Blocker
Orlando Brown,1157.239226773507,Blocker
Andrew Wylie,1130.9549468239197,Blocker
Damion Square,734.5000939557591,Rusher
Creed Humphrey,1151.5102112503123,Blocker
Denzel Perryman,743.1496061151022,Rusher
Tershawn Wharton,746.9232178665889,Rusher
Frank Clark,720.8423561374167,Rusher
Chris Jones,778.1540747055053,Rusher
Alex Okafor,705.0017310254055,Rusher
Derrick Nnadi,742.0442183429224,Rusher
Mike Danna,708.9057289189147,Rusher
Jarran Reed,732.5715601332647,Rusher
Melvin Ingram,712.5458149628854,Rusher
Ben Niemann,708.6736125598628,Rusher
Cory Littleton,740.4994168887108,Rusher
Nick Allegretti,1129.6871908603166,Blocker
Nick Bolton,740.4593540696063,Rusher
Anthony Hitchens,739.7115724254639,Rusher
Willie Gay,738.7356275066877,Rusher
Dean Lowry,713.62359735988,Rusher
Gabe Jackson,1183.473737979328,Blocker
Kenny Clark,739.6334378665813,Rusher
Damien Lewis,1129.2511118475031,Blocker
Ethan Pocic,1133.909266230894,Blocker
Duane Brown,1146.0776232636165,Blocker
Jonathan Garvin,727.2507956208103,Rusher
Brandon Shell,1115.6671013292828,Blocker
Rashan Gary,763.3682983724769,Rusher
Preston Smith,776.6711710700365,Rusher
Jamarco Jones,1146.3269404739092,Blocker
Al Woods,714.7696561150543,Rusher
Lucas Patrick,1161.0622311466448,Blocker
Royce Newman,1141.649374682468,Blocker
L.J. Collier,729.0683735101985,Rusher
Jon Runyan,1161.102744080016,Blocker
Rasheem Green,756.1691937932984,Rusher
Elgton Jenkins,1127.2822882787862,Blocker
Bryan Mone,777.7673801899019,Rusher
Kerry Hyder Jr.,703.3299655000178,Rusher
Poona Ford,736.028858763343,Rusher
Billy Turner,1154.3996439149985,Blocker
Jordyn Brooks,733.8546659941807,Rusher
Carlos Dunlap,775.1357699529294,Rusher
Darrell Taylor,758.5798722734653,Rusher
Oren Burks,742.9829558619383,Rusher
Tyler Lancaster,724.3986894350508,Rusher
Alton Robinson,729.9496204877554,Rusher
T.J. Slaton,731.01509258356,Rusher
De'Vondre Campbell,739.6727590882995,Rusher
Evan Brown,1126.9536854033838,Blocker
Tommy Kraemer,1121.9344518939008,Blocker
Taylor Decker,1141.5010097768713,Blocker
Penei Sewell,1156.553623640604,Blocker
Nick Williams,689.5495421714027,Rusher
Charles Harris,741.5243732676953,Rusher
Larry Borom,1157.4231409331917,Blocker
Austin Bryant,757.2482463883022,Rusher
Julian Okwara,722.1228803013238,Rusher
John Penisini,724.4002327255679,Rusher
Levi Onwuzurike,711.3492038991002,Rusher
Michael Brockers,706.6788152377476,Rusher
Margus Hunt,730.7503085008633,Rusher
Jonah Jackson,1146.805760390119,Blocker
Cassius Marsh Sr.,763.6443607265619,Rusher
Alim Mcneill,792.226449141917,Rusher
Jalen Reeves-Maybin,721.9842777299643,Rusher
Alex Anzalone,717.3010504142375,Rusher
Caleb Johnson,748.7807324263975,Rusher
Josh Woods,739.8221016830719,Rusher
Jessie Lemonier,773.9212949747305,Rusher
Tristan Wirfs,1167.7781061638382,Blocker
Rakeem Nunez-Roches,677.2195211393399,Rusher
Ryan Jensen,1231.6940184449427,Blocker
Ali Marpet,1182.6857116255874,Blocker
Trent Harris,746.53616466318,Rusher
Donovan Smith,1149.6669383711435,Blocker
Alex Cappa,1211.5101268495,Blocker
Ndamukong Suh,673.1092966708708,Rusher
Joe Tryon-Shoyinka,753.5664262200096,Rusher
Matt Skura,1149.0198937181274,Blocker
William Gholston,688.837456584917,Rusher
Devin White,736.4646791054683,Rusher
Aaron Stinnie,1118.1230320573486,Blocker
Robert Hainsey,1133.0484534987847,Blocker
Lavonte David,750.3748417673058,Rusher
Jason Pierre-Paul,721.9475209454273,Rusher
Steve Mclendon,693.0341423036539,Rusher
Shaquil Barrett,742.9468796790691,Rusher
Anthony Nelson,737.9014371967322,Rusher
Vita Vea,681.0117415477317,Rusher
Colby Gossett,1112.6084335655498,Blocker
Patrick O'Connor,746.0224087879383,Rusher
Vincent Taylor,738.5148397017523,Rusher
Fred Johnson,1152.6339521070302,Blocker
Nathan Landman,746.477286675482,Rusher
Drew Dalman,1138.2385392655528,Blocker
Anthony Rush,704.5998870394707,Rusher
DeAngelo Malone,748.8713120818634,Rusher
Greg Gaines,734.5478770582255,Rusher
Andrew Norwell,1149.5164659949655,Blocker
Aaron Donald,812.0067559030635,Rusher
Brandon Linder,1158.5122495343003,Blocker
Ernest Jones,743.1537579225987,Rusher
Cam Robinson,1145.2574813310773,Blocker
Ogbonnia Okoronkwo,725.1018019911322,Rusher
Ben Bartch,1128.1281167427596,Blocker
