split_id,train_end_game_order,test_start_game_order,test_end_game_order,n_rows,win_rate,logloss_elo,logloss_pbwr,logloss_global,brier_elo,brier_pbwr,brier_global,delta_logloss_elo_vs_pbwr,delta_brier_elo_vs_pbwr,delta_logloss_elo_vs_global,delta_brier_elo_vs_global
1,80,81,179,57537,0.257660288162401,0.5853340599728624,0.571985128204534,0.5712087261917228,0.19719765675237597,0.19188940048403574,0.19151207066592008,0.013348931768328387,0.005308256268340236,0.014125333781139282,0.005685586086456123
2,179,180,278,55699,0.2521409720102713,0.5775956259777658,0.5630016900187955,0.5650761188448582,0.19351033796037512,0.18799294875117561,0.18872038549874726,0.014593935958970348,0.005517389209199442,0.012519507132906466,0.004789952461628504
3,278,279,279,598,0.214046822742475,0.5479026475766802,0.52597508454207,0.5250460406438374,0.17997944307758731,0.17073899040713028,0.17036353022369452,0.021927563034610086,0.009240452670457052,0.02285660693284279,0.009615912853892824
