metric,mean_delta,q025,q50,q975,p_delta_gt0,iterations,verdict
delta_brier_elo_vs_global,0.005236946820439556,0.004515052246898819,0.005151474156080025,0.006112202175680045,1,20,Elo worse than comparator
delta_brier_elo_vs_pbwr,0.005430777185829766,0.00471220769401354,0.005355429260313759,0.006368592448089372,1,20,Elo worse than comparator
delta_logloss_elo_vs_global,0.01324801734841406,0.011609668914280712,0.013079600525513331,0.0152883215686274,1,20,Elo worse than comparator
delta_logloss_elo_vs_pbwr,0.013953246810202248,0.01234740448299547,0.013701721561577623,0.016145278465524902,1,20,Elo worse than comparator
