player_name,role,bt_logit_score,coefficient_source
Arden Key,Rusher,-1.3981249091392154e-7,lambda.min
Trey Flowers,Rusher,-2.3157322253523429e-7,lambda.min
Phil Haynes,Blocker,-3.252165418828264e-7,lambda.min
Devin Bush,Rusher,-3.352334844706966e-7,lambda.min
Ron'Dell Carter,Rusher,-3.3553835417791986e-7,lambda.min
Carlos Basham Jr.,Rusher,-3.371431150265442e-7,lambda.min
Markus Golden,Rusher,-4.4449892301200087e-7,lambda.min
Shane Lemieux,Blocker,-4.4723062890364473e-7,lambda.min
Damien Wilson,Rusher,-5.598020373470938e-7,lambda.min
Troy Dye,Rusher,-5.612896862569947e-7,lambda.min
Darious Williams,Rusher,-5.612983502664585e-7,lambda.min
Kahlil Mckenzie,Rusher,-5.613004199551656e-7,lambda.min
Austin Calitro,Rusher,-5.613039887608454e-7,lambda.min
Caleb Johnson,Rusher,-5.613110320644982e-7,lambda.min
Emmanuel Ellerbee,Rusher,-5.613124411910626e-7,lambda.min
Elijah Lee,Rusher,-5.613136336507389e-7,lambda.min
DeAngelo Malone,Rusher,-5.613141783822691e-7,lambda.min
Marquiss Spencer,Rusher,-5.613161932840275e-7,lambda.min
Grant Stuard,Rusher,-5.613175902811798e-7,lambda.min
David Mayo,Rusher,-5.613177110062426e-7,lambda.min
La'Darius Hamilton,Rusher,-5.613247630145265e-7,lambda.min
Kevin Minter,Rusher,-5.613266435735439e-7,lambda.min
Joe Bachie,Rusher,-5.613320123699336e-7,lambda.min
Jordan Smith,Rusher,-5.613337312350757e-7,lambda.min
Tyrel Dodson,Rusher,-5.61334171113389e-7,lambda.min
Ty Sambrailo,Blocker,-5.653959968535262e-7,lambda.min
Azur Kamara,Rusher,-6.718825576435009e-7,lambda.min
Bruce Irvin,Rusher,-7.808561918094049e-7,lambda.min
Daviyon Nixon,Rusher,-7.906654879886017e-7,lambda.min
Morgan Fox,Rusher,-8.221551853315442e-7,lambda.min
Mctelvin Agim,Rusher,-1.0202439652321551e-6,lambda.min
Roquan Smith,Rusher,-1.1184555896740609e-6,lambda.min
Amen Ogbongbemiga,Rusher,-1.1226080667753554e-6,lambda.min
Hamsah Nasirildeen,Rusher,-1.1226410021360554e-6,lambda.min
Joe Walker,Rusher,-1.1226590288239791e-6,lambda.min
Del'Shawn Phillips,Rusher,-1.122671960687287e-6,lambda.min
Dorian O'Daniel,Rusher,-1.1226907467649618e-6,lambda.min
Akeem Spence,Rusher,-1.1227021093187395e-6,lambda.min
Benardrick Mckinney,Rusher,-1.1227076749455028e-6,lambda.min
Nick Kwiatkoski,Rusher,-1.123910444475389e-6,lambda.min
Sharif Finch,Rusher,-1.1239435961413085e-6,lambda.min
Michael Deiter,Blocker,-1.1852423149587783e-6,lambda.min
Jonathan Allen,Rusher,-1.211908148702241e-6,lambda.min
Aaron James Klein,Rusher,-1.2315993688489822e-6,lambda.min
Derick Roberson,Rusher,-1.2330213981373936e-6,lambda.min
Austin Faoliu,Rusher,-1.23945218685751e-6,lambda.min
Ben Banogu,Rusher,-1.3490022233001326e-6,lambda.min
Chukwuma Okorafor,Blocker,-1.3582876271640873e-6,lambda.min
Harold Landry III,Rusher,-1.4388545055756725e-6,lambda.min
Cory Littleton,Rusher,-1.4578268842279371e-6,lambda.min
Patrick Johnson,Rusher,-1.457836132934705e-6,lambda.min
Blake Lynch,Rusher,-1.4591576405312157e-6,lambda.min
Caraun Reid,Rusher,-1.4616509475185675e-6,lambda.min
Kc Mcdermott,Blocker,-1.5683781136479808e-6,lambda.min
Bradlee Anae,Rusher,-1.5712572592612253e-6,lambda.min
Ja'Whaun Bentley,Rusher,-1.6826442997979769e-6,lambda.min
Anthony Pittman,Rusher,-1.68389279443425e-6,lambda.min
Demetrius Flannigan-Fowles,Rusher,-1.6839395920893187e-6,lambda.min
Nathan Landman,Rusher,-1.6839424451325344e-6,lambda.min
Khaleke Hudson,Rusher,-1.6839596625820663e-6,lambda.min
Davion Taylor,Rusher,-1.6839624015040231e-6,lambda.min
Curtis Weaver,Rusher,-1.6839679317681834e-6,lambda.min
Mack Wilson Sr.,Rusher,-1.6839889339915656e-6,lambda.min
Joe Thomas,Rusher,-1.6851739459294522e-6,lambda.min
Anthony Levine Sr.,Rusher,-1.6851880874858347e-6,lambda.min
Josey Jewell,Rusher,-1.6852063717619918e-6,lambda.min
Travin Howard,Rusher,-1.6852434567040646e-6,lambda.min
Andrew Dowell,Rusher,-1.6852713257819211e-6,lambda.min
Daelin Hayes,Rusher,-1.685302427243475e-6,lambda.min
Michael Pierce,Rusher,-1.7123113989650612e-6,lambda.min
Joe Tryon-Shoyinka,Rusher,-1.79306463414374e-6,lambda.min
Chris Hubbard,Blocker,-1.7969938505497327e-6,lambda.min
Bruce Hector,Rusher,-1.7992269679720785e-6,lambda.min
Jon Toth,Blocker,-1.9080674398405783e-6,lambda.min
Alex Barshaba,Blocker,-1.9092976423209473e-6,lambda.min
Dennis Gardeck,Rusher,-1.925030902351501e-6,lambda.min
Emmanuel Ogbah,Rusher,-2.006864080860685e-6,lambda.min
Kwon Alexander,Rusher,-2.020331190635786e-6,lambda.min
Keanu Neal,Rusher,-2.0204985845409914e-6,lambda.min
James Ferentz,Blocker,-2.0221999471224524e-6,lambda.min
Nick Gates,Blocker,-2.1218490727227756e-6,lambda.min
Keaton Sutherland,Blocker,-2.1317436679598242e-6,lambda.min
Bobby Hart,Blocker,-2.133693303999661e-6,lambda.min
Malcolm Smith,Rusher,-2.1343112804741694e-6,lambda.min
Jake Zimmer,Rusher,-2.1427424937007628e-6,lambda.min
Jonathan Ledbetter,Rusher,-2.2451597318594808e-6,lambda.min
Jamien Sherwood,Rusher,-2.2453144807195455e-6,lambda.min
Ronald Blair,Rusher,-2.246282486115176e-6,lambda.min
Josh Woods,Rusher,-2.2464846255716228e-6,lambda.min
Justin Lawler,Rusher,-2.246496817146766e-6,lambda.min
Jordan Evans,Rusher,-2.246518721071602e-6,lambda.min
Lerentee Mccray,Rusher,-2.2466602027242617e-6,lambda.min
Dylan Cole,Rusher,-2.2478006555055116e-6,lambda.min
Jayon Brown,Rusher,-2.3575093331996306e-6,lambda.min
Julie'N Davenport,Blocker,-2.3653231529326533e-6,lambda.min
Austin Johnson,Rusher,-2.4195823010480913e-6,lambda.min
Melvin Ingram,Rusher,-2.445959299107088e-6,lambda.min
Malik Mcdowell,Rusher,-2.4576169637964488e-6,lambda.min
Shaka Toney,Rusher,-2.4685002922646016e-6,lambda.min
Joshua Miles,Blocker,-2.4714234330853597e-6,lambda.min
Derrick Barnes,Rusher,-2.581741264178251e-6,lambda.min
Oren Burks,Rusher,-2.582954968463494e-6,lambda.min
Joe Noteboom,Blocker,-2.584563727933425e-6,lambda.min
Malcolm Koonce,Rusher,-2.695835087404912e-6,lambda.min
Jonathan Bullard,Rusher,-2.7138567405399926e-6,lambda.min
Darius Philon,Rusher,-2.72914375569354e-6,lambda.min
Julian Stanford,Rusher,-2.806669098823048e-6,lambda.min
Marcus Allen,Rusher,-2.80790140418712e-6,lambda.min
Rashad Weaver,Rusher,-2.8079346073208083e-6,lambda.min
D'Ante Smith,Blocker,-2.808954455460386e-6,lambda.min
Milton Williams,Rusher,-2.844751725810894e-6,lambda.min
Alexander Johnson,Rusher,-2.915397918594046e-6,lambda.min
Tae Crowder,Rusher,-2.9171472940470965e-6,lambda.min
Jonathan Bostic,Rusher,-2.9183515469150993e-6,lambda.min
Matt Farniok,Blocker,-3.032691327336555e-6,lambda.min
Jason Spriggs,Blocker,-3.0333379625016223e-6,lambda.min
John Penisini,Rusher,-3.2763898982584743e-6,lambda.min
Julian Okwara,Rusher,-3.3661262622748266e-6,lambda.min
Eric Wilson,Rusher,-3.3677742489355885e-6,lambda.min
K.J. Wright,Rusher,-3.367793296168543e-6,lambda.min
Patrick O'Connor,Rusher,-3.367897529839807e-6,lambda.min
Denzel Perryman,Rusher,-3.3678989289517066e-6,lambda.min
Forrest Merrill,Rusher,-3.3690782088497543e-6,lambda.min
Bryan Bulaga,Blocker,-3.3701531757474905e-6,lambda.min
Daniel Archibong,Rusher,-3.3704211609843332e-6,lambda.min
Trent Scott,Blocker,-3.4627161722401407e-6,lambda.min
Jason Pierre-Paul,Rusher,-3.476985495483678e-6,lambda.min
Ernest Jones,Rusher,-3.4795048166631883e-6,lambda.min
Victor Dimukeje,Rusher,-3.480182280516384e-6,lambda.min
Chuma Edoga,Blocker,-3.594023971920311e-6,lambda.min
Malcom Brown,Rusher,-3.653604781677567e-6,lambda.min
Jarrad Davis,Rusher,-3.7059941472815493e-6,lambda.min
Freedom Akinmoladun,Rusher,-3.708248636334213e-6,lambda.min
Iosua Opeta,Blocker,-3.817169645924028e-6,lambda.min
Carlos Davis,Rusher,-3.8230109110824e-6,lambda.min
Ledarius Mack,Rusher,-3.929182834432567e-6,lambda.min
Tanner Vallejo,Rusher,-3.9305178365066695e-6,lambda.min
Marcell Harris,Rusher,-3.930555129667388e-6,lambda.min
David Sharpe,Blocker,-3.932063913247754e-6,lambda.min
Cedric Ogbuehi,Blocker,-4.271455142026615e-6,lambda.min
Porter Gustin,Rusher,-4.377058624559684e-6,lambda.min
Raymond Johnson III,Rusher,-4.38169832686177e-6,lambda.min
Dre Greenlaw,Rusher,-4.490428231221905e-6,lambda.min
Jonas Griffith,Rusher,-4.490552348807389e-6,lambda.min
Jacob Phillips,Rusher,-4.490563769443258e-6,lambda.min
Malik Harrison,Rusher,-4.49056786100985e-6,lambda.min
E.J. Speed,Rusher,-4.490704346168456e-6,lambda.min
Darryl Johnson,Rusher,-4.491739092626236e-6,lambda.min
Ulysees Gilbert III,Rusher,-4.491769159884171e-6,lambda.min
Eli Ankou,Rusher,-4.607217720298853e-6,lambda.min
Solomon Kindley,Blocker,-4.704864328859919e-6,lambda.min
Dalvin Tomlinson,Rusher,-4.796796964458262e-6,lambda.min
Tommy Kraemer,Blocker,-4.821828414871878e-6,lambda.min
Reggie Ragland,Rusher,-4.825561567607544e-6,lambda.min
Tyson Alualu,Rusher,-4.841879967736318e-6,lambda.min
Quenton Nelson,Blocker,-4.901438424070954e-6,lambda.min
Albert Huggins,Rusher,-4.958111876590651e-6,lambda.min
L.J. Collier,Rusher,-4.961833674228176e-6,lambda.min
Justin Zimmer,Rusher,-4.973895696128118e-6,lambda.min
Emeke Egbule,Rusher,-5.051946741128677e-6,lambda.min
Khalid Kareem,Rusher,-5.15961657408838e-6,lambda.min
Jeffery Simmons,Rusher,-5.181212128898101e-6,lambda.min
Kolton Miller,Blocker,-5.191665449199423e-6,lambda.min
Austin Reiter,Blocker,-5.230182978739385e-6,lambda.min
Tanoh Kpassagnon,Rusher,-5.416651996390713e-6,lambda.min
Christian Kirksey,Rusher,-5.500451507381057e-6,lambda.min
Stone Forsythe,Blocker,-5.503357737571216e-6,lambda.min
Derrick Brown,Rusher,-5.563560068543117e-6,lambda.min
Divine Deablo,Rusher,-5.613053334195057e-6,lambda.min
Blake Martinez,Rusher,-5.614553311015289e-6,lambda.min
Dorance Armstrong,Rusher,-5.617908950711115e-6,lambda.min
Duke Riley,Rusher,-5.726453708947973e-6,lambda.min
Jonathan Marshall,Rusher,-5.850716189013533e-6,lambda.min
Tipa Galeai,Rusher,-5.941626268176357e-6,lambda.min
Dillon Radunz,Blocker,-5.949006357605885e-6,lambda.min
Eric Banks,Rusher,-5.956557818312572e-6,lambda.min
Derrek Tuszka,Rusher,-6.052882483262917e-6,lambda.min
Casey Tucker,Blocker,-6.0653969774960995e-6,lambda.min
Trysten Hill,Rusher,-6.08397996621976e-6,lambda.min
Derrick Nnadi,Rusher,-6.133910105432878e-6,lambda.min
Bobby Wagner,Rusher,-6.172598187707342e-6,lambda.min
Chris Board,Rusher,-6.172767423007017e-6,lambda.min
Krys Barnes,Rusher,-6.175706069673501e-6,lambda.min
Nick Dzubnar,Rusher,-6.176957126895454e-6,lambda.min
Kevin Strong,Rusher,-6.185703680664156e-6,lambda.min
Oshane Ximines,Rusher,-6.286280603061363e-6,lambda.min
Justin Madubuike,Rusher,-6.333750788785204e-6,lambda.min
Frank Ragnow,Blocker,-6.3666145741817045e-6,lambda.min
Colby Gossett,Blocker,-6.39766672151058e-6,lambda.min
Connor Mcgovern,Blocker,-6.400312425949594e-6,lambda.min
Mike Remmers,Blocker,-6.405659036171948e-6,lambda.min
Chris Lindstrom,Blocker,-6.417022011745995e-6,lambda.min
Carl Nassib,Rusher,-6.618982510930698e-6,lambda.min
Bradley Chubb,Rusher,-6.622304193894666e-6,lambda.min
Ifeadi Odenigbo,Rusher,-6.623037688079352e-6,lambda.min
Jackson Barton,Blocker,-6.626688053191951e-6,lambda.min
Donovan Smith,Blocker,-6.633640304912858e-6,lambda.min
Bilal Nichols,Rusher,-6.670291728893978e-6,lambda.min
Osa Odighizuwa,Rusher,-6.694644206335314e-6,lambda.min
Alec Ogletree,Rusher,-6.735738004069938e-6,lambda.min
Marvin Wilson,Rusher,-6.740555726997635e-6,lambda.min
Kyzir White,Rusher,-6.849767279287532e-6,lambda.min
Myron Cunningham,Blocker,-6.85020359586188e-6,lambda.min
Justin Mccray,Blocker,-7.036211213486038e-6,lambda.min
Kylie Fitts,Rusher,-7.079194868082034e-6,lambda.min
Patrick Jones II,Rusher,-7.183792342698703e-6,lambda.min
Nick Allegretti,Blocker,-7.188003714482882e-6,lambda.min
Joe Jackson,Rusher,-7.293146579295247e-6,lambda.min
Jaylon Smith,Rusher,-7.299776845515795e-6,lambda.min
Azeez Al-Shaair,Rusher,-7.4101732766456e-6,lambda.min
Joseph Jones,Rusher,-7.637521113128999e-6,lambda.min
Tremaine Edmunds,Rusher,-7.745088184151822e-6,lambda.min
Malik Reed,Rusher,-7.949313989789301e-6,lambda.min
Trevis Gipson,Rusher,-7.959641954557283e-6,lambda.min
Bobby Okereke,Rusher,-7.968874043031957e-6,lambda.min
Zaven Collins,Rusher,-7.974409642366495e-6,lambda.min
Raequan Williams,Rusher,-7.979092368913814e-6,lambda.min
Chris Rumph II,Rusher,-8.0781799631779e-6,lambda.min
A'Shawn Robinson,Rusher,-8.188695611788579e-6,lambda.min
Cameron Malveaux,Rusher,-8.308258548677694e-6,lambda.min
Da'Shawn Hand,Rusher,-8.322165575921969e-6,lambda.min
Lorenzo Carter,Rusher,-8.412356943833405e-6,lambda.min
Tommy Doyle,Blocker,-8.5360569544163e-6,lambda.min
Abdullah Anderson,Rusher,-8.656500607020675e-6,lambda.min
Quinn Bailey,Blocker,-8.760866642725417e-6,lambda.min
Leonard Floyd,Rusher,-8.84730640641437e-6,lambda.min
Tyler Shelvin,Rusher,-8.880877076050716e-6,lambda.min
Wyatt Ray,Rusher,-8.982891747472251e-6,lambda.min
Pernell Mcphee,Rusher,-8.989086438575878e-6,lambda.min
John Jenkins,Rusher,-9.005955855544837e-6,lambda.min
Landon Dickerson,Blocker,-9.041602169504742e-6,lambda.min
Jaylon Ferguson,Rusher,-9.091610092282947e-6,lambda.min
Quincy Williams,Rusher,-9.092527291468884e-6,lambda.min
Isaiah Mack,Rusher,-9.102808365902459e-6,lambda.min
Randy Gregory,Rusher,-9.209044599877876e-6,lambda.min
Kenny Young,Rusher,-9.317984676245382e-6,lambda.min
Tytus Howard,Blocker,-9.387039591233825e-6,lambda.min
Wyatt Raymond,Rusher,-9.43399837356123e-6,lambda.min
Jonathan Harris,Rusher,-9.438985753896314e-6,lambda.min
Anthony Walker Jr.,Rusher,-9.543492552795674e-6,lambda.min
Anthony Barr,Rusher,-9.544183161483122e-6,lambda.min
Germaine Pratt,Rusher,-9.65280034956773e-6,lambda.min
Dont'A Hightower,Rusher,-9.65702743810138e-6,lambda.min
T.Y. Mcgill,Rusher,-9.663799729163282e-6,lambda.min
James Vaughters,Rusher,-9.767782884618312e-6,lambda.min
Josh Mauro,Rusher,-9.88244413680681e-6,lambda.min
Josh Tupou,Rusher,-9.907343658237425e-6,lambda.min
Kyle Van Noy,Rusher,-9.993006039482087e-6,lambda.min
Renell Wren,Rusher,-1.0107283984572815e-5,lambda.min
Will Holden,Blocker,-1.0107689604493187e-5,lambda.min
Isaiah Prince,Blocker,-1.0116094725013499e-5,lambda.min
Cam Sample,Rusher,-1.0569243483355592e-5,lambda.min
Ryan Mccollum,Blocker,-1.0668802852542435e-5,lambda.min
Efe Obada,Rusher,-1.068057739803302e-5,lambda.min
Mario Edwards Jr.,Rusher,-1.069215505358676e-5,lambda.min
Yodny Cajuste,Blocker,-1.089579679679873e-5,lambda.min
Isaac Seumalo,Blocker,-1.0993547399095556e-5,lambda.min
Marlon Tuipulotu,Rusher,-1.1008774107640672e-5,lambda.min
Jamarco Jones,Blocker,-1.1112084558419338e-5,lambda.min
Dayo Odeyingbo,Rusher,-1.1133246707132028e-5,lambda.min
Tyquan Lewis,Rusher,-1.114358969175649e-5,lambda.min
Kyle Phillips,Rusher,-1.1226642918739267e-5,lambda.min
Austin Corbett,Blocker,-1.1613669142534224e-5,lambda.min
Kenny Willekes,Rusher,-1.1667709068943064e-5,lambda.min
Joe Schobert,Rusher,-1.1673226833757056e-5,lambda.min
Michael Hoecht,Rusher,-1.1687141673007852e-5,lambda.min
Javon Kinlaw,Rusher,-1.1701402852286203e-5,lambda.min
Kemoko Turay,Rusher,-1.1896463850882879e-5,lambda.min
Le'Raven Clark,Blocker,-1.190518477956958e-5,lambda.min
Breiden Fehoko,Rusher,-1.1914960429754447e-5,lambda.min
Bunmi Rotimi,Rusher,-1.2234234168337673e-5,lambda.min
Haason Reddick,Rusher,-1.2327272550799801e-5,lambda.min
Darius Leonard,Rusher,-1.2348811150865675e-5,lambda.min
David Bakhtiari,Blocker,-1.2355299775250512e-5,lambda.min
Geron Christian Sr.,Blocker,-1.2367724280169162e-5,lambda.min
John Leglue,Blocker,-1.2441315687954214e-5,lambda.min
Garett Bolles,Blocker,-1.2463720724542024e-5,lambda.min
Brandon Scherff,Blocker,-1.253242743077105e-5,lambda.min
Chandler Jones,Rusher,-1.2560934782648818e-5,lambda.min
Rakeem Nunez-Roches,Rusher,-1.268281507963118e-5,lambda.min
Antwaun Woods,Rusher,-1.2812911230216639e-5,lambda.min
Alex Anzalone,Rusher,-1.3026238503879104e-5,lambda.min
Quincy Roche,Rusher,-1.3133570082149452e-5,lambda.min
Shaquil Barrett,Rusher,-1.3245412520780542e-5,lambda.min
Greg Rousseau,Rusher,-1.3353610455630177e-5,lambda.min
Jordyn Brooks,Rusher,-1.3357066370223393e-5,lambda.min
Christian Ringo,Rusher,-1.3408471909481404e-5,lambda.min
C.J. Mosley,Rusher,-1.347042041127231e-5,lambda.min
Andre Mintze,Rusher,-1.3473393592514496e-5,lambda.min
Damien Lewis,Blocker,-1.3527601844394436e-5,lambda.min
Devon Kennard,Rusher,-1.3582884980137263e-5,lambda.min
Terron Armstead,Blocker,-1.3598869531859512e-5,lambda.min
Jaleel Johnson,Rusher,-1.404874290401653e-5,lambda.min
Jedrick Wills Jr.,Blocker,-1.4163373551278128e-5,lambda.min
William Gholston,Rusher,-1.4254671983715679e-5,lambda.min
Michael Jordan,Blocker,-1.4360765250203044e-5,lambda.min
Baron Browning,Rusher,-1.4371683304898801e-5,lambda.min
Leonard Williams,Rusher,-1.4450946893708e-5,lambda.min
Leighton Vander Esch,Rusher,-1.4709387626762417e-5,lambda.min
Colton Mckivitz,Blocker,-1.4714609232830095e-5,lambda.min
Eric Kendricks,Rusher,-1.481846670234802e-5,lambda.min
Kaden Elliss,Rusher,-1.4938712962258879e-5,lambda.min
La'El Collins,Blocker,-1.5065271143981129e-5,lambda.min
Marquis Haynes Sr.,Rusher,-1.5156372661576503e-5,lambda.min
Logan Wilson,Rusher,-1.527037177408675e-5,lambda.min
Walker Little,Blocker,-1.527605751073444e-5,lambda.min
John Miller,Blocker,-1.5461612938432895e-5,lambda.min
Anthony Rush,Rusher,-1.5509402812068504e-5,lambda.min
Ryan Bates,Blocker,-1.5708258720743067e-5,lambda.min
Robert Jones,Blocker,-1.583508446824283e-5,lambda.min
Cameron Erving,Blocker,-1.6065248562596876e-5,lambda.min
Justin Hollins,Rusher,-1.6275191897992426e-5,lambda.min
Kenneth Murray Jr.,Rusher,-1.6284412995337543e-5,lambda.min
Lucas Patrick,Blocker,-1.630978827822305e-5,lambda.min
Azeez Ojulari,Rusher,-1.6371983312932137e-5,lambda.min
Frankie Luvu,Rusher,-1.6393412556688502e-5,lambda.min
Carl Granderson,Rusher,-1.6396168595098064e-5,lambda.min
Mitch Morse,Blocker,-1.6738739316319612e-5,lambda.min
Lawrence Guy,Rusher,-1.6872149329871955e-5,lambda.min
Alex Okafor,Rusher,-1.7168167991849502e-5,lambda.min
Jalen Mayfield,Blocker,-1.7336632642989975e-5,lambda.min
Jon Feliciano,Blocker,-1.7603439386925086e-5,lambda.min
Bud Dupree,Rusher,-1.761623696445301e-5,lambda.min
Michael Brockers,Rusher,-1.7901823618202306e-5,lambda.min
Greg Mancz,Blocker,-1.79558735536545e-5,lambda.min
Steve Mclendon,Rusher,-1.79631429336898e-5,lambda.min
Ben Niemann,Rusher,-1.7970810694160226e-5,lambda.min
Dennis Daley,Blocker,-1.8053433935976908e-5,lambda.min
Tommy Togiai,Rusher,-1.809659211410483e-5,lambda.min
D.J. Reader,Rusher,-1.8289431800777314e-5,lambda.min
Fred Warner,Rusher,-1.8301975323567772e-5,lambda.min
Brandon Parker,Blocker,-1.8538562602471115e-5,lambda.min
Naquan Jones,Rusher,-1.867748126107093e-5,lambda.min
Jordan Phillips,Rusher,-1.8873244582391497e-5,lambda.min
Khyiris Tonga,Rusher,-1.887569053233691e-5,lambda.min
Brady Christensen,Blocker,-1.897674429765639e-5,lambda.min
Jack Anderson,Blocker,-1.908735681119534e-5,lambda.min
Ryan Kelly,Blocker,-1.9903445720885824e-5,lambda.min
Boogie Basham,Rusher,-1.999243317964476e-5,lambda.min
Trai Turner,Blocker,-2.0023734393987773e-5,lambda.min
Jerome Baker,Rusher,-2.020181320976167e-5,lambda.min
Jack Driscoll,Blocker,-2.030838977619279e-5,lambda.min
Jake Curhan,Blocker,-2.032340752681823e-5,lambda.min
Halapoulivaati Vaitai,Blocker,-2.038257525126997e-5,lambda.min
Andrus Peat,Blocker,-2.0535002133116995e-5,lambda.min
Whitney Mercilus,Rusher,-2.077511962047511e-5,lambda.min
Josh Jones,Blocker,-2.085478752634373e-5,lambda.min
Jalyn Holmes,Rusher,-2.0995525458078946e-5,lambda.min
Quinn Meinerz,Blocker,-2.1299450273864558e-5,lambda.min
Lucas Niang,Blocker,-2.135714286876472e-5,lambda.min
Shaq Thompson,Rusher,-2.1453747460539894e-5,lambda.min
Kelvin Beachum,Blocker,-2.168336176842915e-5,lambda.min
Marlon Davidson,Rusher,-2.2029498330563326e-5,lambda.min
Royce Newman,Blocker,-2.2495285646717052e-5,lambda.min
Adetokunbo Ogundeji,Rusher,-2.2898567879878968e-5,lambda.min
Greg Gaines,Rusher,-2.3099538868601285e-5,lambda.min
Christian Covington,Rusher,-2.3173868404652085e-5,lambda.min
James Hudson III,Blocker,-2.3362631103448392e-5,lambda.min
Shy Tuttle,Rusher,-2.351939728862102e-5,lambda.min
Sam Cosmi,Blocker,-2.370299935835331e-5,lambda.min
Lane Taylor,Blocker,-2.401210257346904e-5,lambda.min
Taco Charlton,Rusher,-2.4363010973498925e-5,lambda.min
Trey Pipkins III,Blocker,-2.437167340847753e-5,lambda.min
Bravvion Roy,Rusher,-2.4507873631892256e-5,lambda.min
Mike Purcell,Rusher,-2.4619087914219093e-5,lambda.min
Yetur Gross-Matos,Rusher,-2.5844004725852927e-5,lambda.min
Rashard Lawrence,Rusher,-2.606759082165535e-5,lambda.min
Matt Feiler,Blocker,-2.6534437215589366e-5,lambda.min
Linval Joseph,Rusher,-2.6648657234838516e-5,lambda.min
Danny Shelton,Rusher,-2.6742621958413112e-5,lambda.min
Jordan Willis,Rusher,-2.7169557822396737e-5,lambda.min
Isaiah Wynn,Blocker,-2.7183375488459618e-5,lambda.min
Matt Peart,Blocker,-2.7288751556712426e-5,lambda.min
Michael Dogbe,Rusher,-2.742599613019478e-5,lambda.min
Yosh Nijman,Blocker,-2.7634260928289707e-5,lambda.min
Calvin Anderson,Blocker,-2.818777392425306e-5,lambda.min
Larry Ogunjobi,Rusher,-2.925655432116054e-5,lambda.min
Graham Glasgow,Blocker,-2.9276413062638177e-5,lambda.min
Olisaemeka Udoh,Blocker,-2.9345937345868063e-5,lambda.min
David Quessenberry,Blocker,-2.954356663738138e-5,lambda.min
Andrew Van Ginkel,Rusher,-2.9745158682552867e-5,lambda.min
Levi Onwuzurike,Rusher,-2.9904534220048722e-5,lambda.min
Akiem Hicks,Rusher,-3.0347834859235542e-5,lambda.min
Matt Pryor,Blocker,-3.0443841280641613e-5,lambda.min
Rasheem Green,Rusher,-3.059035087208317e-5,lambda.min
Justin Jones,Rusher,-3.080162893065737e-5,lambda.min
A.J. Cann,Blocker,-3.1301033742112746e-5,lambda.min
Chris Reed,Blocker,-3.1306138110158226e-5,lambda.min
George Fant,Blocker,-3.1462894176633194e-5,lambda.min
Jordan Elliott,Rusher,-3.149166321518087e-5,lambda.min
Al Woods,Rusher,-3.1617225495423636e-5,lambda.min
Steven Means,Rusher,-3.1665045588823145e-5,lambda.min
Benson Mayowa,Rusher,-3.1880135951646716e-5,lambda.min
Kingsley Keke,Rusher,-3.2032329744253916e-5,lambda.min
Jon Runyan,Blocker,-3.2043913956684895e-5,lambda.min
Shelby Harris,Rusher,-3.206012371086745e-5,lambda.min
Braden Smith,Blocker,-3.224653803948836e-5,lambda.min
Chase Young,Rusher,-3.2333843595375755e-5,lambda.min
Cornelius Lucas,Blocker,-3.2348408282515465e-5,lambda.min
Casey Toohill,Rusher,-3.2445954425008554e-5,lambda.min
James Smith-Williams,Rusher,-3.288922881382516e-5,lambda.min
Josiah Bronson,Rusher,-3.2932550583676655e-5,lambda.min
James Lynch,Rusher,-3.3493374933385255e-5,lambda.min
Justin Herron,Blocker,-3.370412698000272e-5,lambda.min
Hassan Ridgeway,Rusher,-3.3843761606739915e-5,lambda.min
Hakeem Adeniji,Blocker,-3.4305212575866514e-5,lambda.min
Brian Burns,Rusher,-3.479360398079873e-5,lambda.min
Kaleb McGary,Blocker,-3.5472167187238156e-5,lambda.min
David Onyemata,Rusher,-3.5643065650483745e-5,lambda.min
Justin Britt,Blocker,-3.596909258150647e-5,lambda.min
Teair Tart,Rusher,-3.609250924282544e-5,lambda.min
Montez Sweat,Rusher,-3.660155104661517e-5,lambda.min
Shamar Stephen,Rusher,-3.6973186009056316e-5,lambda.min
Mike Danna,Rusher,-3.894809436912191e-5,lambda.min
Isaiahh Loudermilk,Rusher,-3.9660189314452816e-5,lambda.min
Angelo Blackson,Rusher,-4.0694711350118215e-5,lambda.min
D.J. Wonnum,Rusher,-4.084812112175525e-5,lambda.min
Adam Butler,Rusher,-4.1089066829137675e-5,lambda.min
Corey Peters,Rusher,-4.1132544655911774e-5,lambda.min
Austin Jackson,Blocker,-4.116966854111241e-5,lambda.min
Vita Vea,Rusher,-4.1312154869342204e-5,lambda.min
Nick Williams,Rusher,-4.248004799333301e-5,lambda.min
Rob Havenstein,Blocker,-4.3246271002068096e-5,lambda.min
Laremy Tunsil,Blocker,-4.3351395669447156e-5,lambda.min
Cameron Jordan,Rusher,-4.357254827691143e-5,lambda.min
Orlando Brown,Blocker,-4.405991657456586e-5,lambda.min
Ben Bartch,Blocker,-4.418304857090969e-5,lambda.min
Robert Nkemdiche,Rusher,-4.425956520695129e-5,lambda.min
Nate Herbig,Blocker,-4.455178745774822e-5,lambda.min
Matt Nelson,Blocker,-4.481336453126295e-5,lambda.min
Taylor Decker,Blocker,-4.5037737547221385e-05,lambda.min
Max Garcia,Blocker,-4.531028687761922e-5,lambda.min
