game_id,play_uuid,sack_player,sack
1069714,2da556b8-277e-45de-84ca-911ca2e2cd4a,Grady Jarrett,1
1069714,e0328cbf-6eb3-4279-bf36-3c969ff2eb0d,Azeez Ojulari,1
1069714,ace72441-8c41-456c-908f-0c6d5d668ab4,Leonard Williams,1
1069714,dfddb5aa-563e-4636-9284-447690987794,Austin Johnson,1
1069714,cb154305-d72b-43fb-932d-e2705e7bfea0,Dante Fowler Jr.,1
1069784,01f0bade-a2c1-48db-97e6-fffc479fdeb0,Matthew Judon,1
1069784,101f340b-a2d5-41be-bcfb-10342f864ce9,Matthew Judon,1
1069784,f17e6eb1-6ef8-4db7-83b7-2822b7a235d8,Jamie Collins Sr.,1
1069784,7cacce15-ef87-4ec1-9528-073854e749d8,Jonathan Greenard,1
1069798,d4d63e16-eb3d-47c5-816f-f9fa0ebeeff1,Khalil Mack,1
1069798,863db715-4ea1-47cc-ad86-3ce03bc17f0d,Yannick Ngakoue,1
1069798,a2ee4a01-797f-4463-a74d-f3e1e5354f7f,Trevis Gipson,1
1069798,d4d06cb4-740a-4a05-8aa3-3912806094f2,Khalil Mack,1
1069798,8bcc6364-16e8-4b26-8c47-84a45a5c606b,Tashaun Gipson Sr.,1
1069800,9844e724-2ae2-43de-bd61-3938f5dbdc32,D.J. Jones,1
1069800,c92a3bc3-4e7f-4f98-9092-46b0ebd2dee2,Isaiah Simmons,1
1069800,0efd12f1-0fd0-4704-881e-e14e6c9f1475,Nick Bosa,1
1069800,788d27f7-073e-4b0e-af3e-6d163f0baf68,Zach Allen,1
1070627,0b2675d5-6d24-4a82-9d6f-939a07da988a,Haason Reddick,1
1070627,cde31366-fb0a-4a67-a335-a87cc3fd7601,Brian Burns,1
1070627,adc8b490-53f0-44e5-889c-9f12b0716a57,Matthew Judon,1
1071838,6edcc26b-e084-444f-a508-e09584107320,Jarran Reed,1
1071838,5a001085-a089-4b71-a199-de1268e167d6,Derrick Nnadi,1
1071848,c08ed8ef-2f83-481f-8f88-88201241c03b,Rasheem Green,1
1071848,79f18e36-f4f9-4fee-bf1d-9ea7910c118e,Whitney Mercilus,1
1071848,1f0b09a4-808a-42e7-9f32-686df1c1634f,Rashan Gary,1
1071894,907ba8d8-b1c4-4229-b138-e8c3f0a27bf8,Robert Quinn,1
1071894,fee0a60a-b6ff-449a-b61a-3632ed7f39f6,Levi Onwuzurike,1
1071896,91b25d84-fe22-400a-8bd7-a5836c6169eb,Raymond Johnson III,1
1071896,b6610eb8-3181-442d-8034-97cb604641c0,Anthony Nelson,1
1071896,cd783922-7971-4e15-812a-2bf54457e98a,Patrick O'Connor,1
1071960,aabcc0bc-3e60-453b-8829-a48792c92d35,Ndamukong Suh,1
1071960,353d1c3c-ea7e-46d2-b219-7c9515c16524,Cam Gill,1
1071960,8aef58a8-f66e-4af1-ba9e-ebdc217f5381,Vita Vea,1
1071960,2d9fb6cb-24a0-4e84-8857-3088d6344f7d,Ndamukong Suh,1
1071960,7687b2c1-c996-4a98-9293-093097abe82b,Vita Vea,1
1071962,95964754-9884-4b3c-9f41-d559142fea53,Rudy Ford,1
1071962,c39d544c-f05a-4a77-af40-57fd968c03da,Ernest Jones,1
1071962,c94cfb26-c793-4097-8f6b-7e98ded3a999,Troy Reeder,1
1071962,6dcc80a6-f101-4780-b4bc-3067ee07fe85,Aaron Donald,1
1071964,d5917584-aaac-4d4b-8729-125b2aba063a,Malcolm Koonce,1
1071964,cbf6b279-04fe-438b-9fd9-98d9d6cb839c,James Smith-Williams,1
1071964,3e26aaf1-8a70-4c2b-b1c3-de17afd81532,Matt Ioannidis,1
1071966,2af41e35-7994-44ca-939b-8b144385cbe5,Nick Bosa,1
1071966,56e07859-18ec-410f-955c-7dec0aff6f79,Arik Armstead,1
1071966,9bc15076-f3ff-4681-9e7d-0cd9c5a3e8ee,Carlos Dunlap,1
