player_name,role,weighted_severity_logit_score,elo_like_score,coefficient_source
Divine Deablo,Rusher,-1.7664230799043043e-5,999.9969314263365,lambda.min
Calvin Anderson,Blocker,-1.8230879614123164e-5,999.996832989355,lambda.min
Dayo Odeyingbo,Rusher,-1.8344237570234758e-5,999.9968132970611,lambda.min
Foyesade Oluokun,Rusher,-1.8376404824291925e-5,999.9968077090367,lambda.min
Benson Mayowa,Rusher,-1.8418863996267436e-5,999.996800333123,lambda.min
Andrew Wylie,Blocker,-1.849943713448445e-5,999.9967863361353,lambda.min
Max Scharping,Blocker,-1.8643019821832568e-5,999.9967613932678,lambda.min
Ike Boettger,Blocker,-1.8810802176721957e-5,999.9967322464875,lambda.min
Jonathan Bullard,Rusher,-1.8845260501579963e-5,999.9967262604633,lambda.min
Jerome Baker,Rusher,-1.8872212803841346e-5,999.9967215783689,lambda.min
A'Shawn Robinson,Rusher,-1.8887335587643253e-5,999.9967189512722,lambda.min
Jonathon Cooper,Rusher,-1.8930401894545092e-5,999.9967114698885,lambda.min
Quinton Bohanna,Rusher,-1.896028931781071e-5,999.9967062779112,lambda.min
Taco Charlton,Rusher,-1.901026666914014e-5,999.9966975959561,lambda.min
Jason Pierre-Paul,Rusher,-1.9094833209925802e-5,999.9966829052433,lambda.min
Carl Nassib,Rusher,-1.9107430276337165e-5,999.9966807169087,lambda.min
Sam Hubbard,Rusher,-1.9581786748594242e-5,999.9965983127494,lambda.min
Jaleel Johnson,Rusher,-1.9678666808984816e-5,999.9965814829592,lambda.min
Justin Hamilton,Rusher,-2.017678168300209e-5,999.9964949515427,lambda.min
Chris Board,Rusher,-2.0475833988369564e-5,999.9964430008363,lambda.min
Michael Deiter,Blocker,-2.0636094043980757e-5,999.9964151608132,lambda.min
Max Garcia,Blocker,-2.063636224884574e-5,999.9964151142212,lambda.min
Julie'N Davenport,Blocker,-2.0696066077738794e-5,999.9964047426038,lambda.min
Quinn Meinerz,Blocker,-2.1289032629552725e-5,999.9963017337633,lambda.min
Bobby Hart,Blocker,-2.158876794794396e-5,999.9962496644054,lambda.min
Matt Pryor,Blocker,-2.1808095892186094e-5,999.996211563239,lambda.min
Khalen Saunders,Rusher,-2.1817962217589946e-5,999.9962098492826,lambda.min
Austin Reiter,Blocker,-2.20726091955978e-5,999.9961656125718,lambda.min
Rodger Saffold,Blocker,-2.2085014961403535e-5,999.9961634574695,lambda.min
Tyler Lancaster,Rusher,-2.2233768218175812e-5,999.996137616382,lambda.min
Jordan Phillips,Rusher,-2.225806506669536e-5,999.9961333955872,lambda.min
Ifeadi Odenigbo,Rusher,-2.2524920197577143e-5,999.9960870381028,lambda.min
Jaylon Ferguson,Rusher,-2.254337677656352e-5,999.9960838318667,lambda.min
Jordan Mailata,Blocker,-2.272646198060484e-5,999.9960520267091,lambda.min
C.J. Mosley,Rusher,-2.279076471579239e-5,999.9960408561799,lambda.min
Isaiah Buggs,Rusher,-2.2826618115852598e-5,999.9960346278064,lambda.min
Bruce Irvin,Rusher,-2.2899837213590042e-5,999.9960219083464,lambda.min
Yodny Cajuste,Blocker,-2.305422533522404e-5,999.9959950883826,lambda.min
Nate Herbig,Blocker,-2.3210516149552782e-5,999.9959679378874,lambda.min
Shelby Harris,Rusher,-2.333700253921455e-5,999.9959459649509,lambda.min
Colton Mckivitz,Blocker,-2.3579338201952076e-5,999.9959038669344,lambda.min
Matt Nelson,Blocker,-2.3678839968935216e-5,999.9958865817072,lambda.min
La'El Collins,Blocker,-2.3879529160643078e-5,999.9958517184238,lambda.min
Andrew Van Ginkel,Rusher,-2.4199611461283797e-5,999.9957961144329,lambda.min
Arden Key,Rusher,-2.4272989447893847e-5,999.995783367371,lambda.min
Danny Shelton,Rusher,-2.4398457862296982e-5,999.995761571275,lambda.min
Keanu Neal,Rusher,-2.505192391210025e-5,999.9956480525952,lambda.min
Melvin Ingram,Rusher,-2.5380213720740196e-5,999.9955910228143,lambda.min
Tyeler Davison,Rusher,-2.579859213987555e-5,999.9955183430388,lambda.min
Baron Browning,Rusher,-2.5848242103699678e-5,999.9955097179567,lambda.min
Jackson Carman,Blocker,-2.5861579026921146e-5,999.9955074010958,lambda.min
Armon Watts,Rusher,-2.586806863022947e-5,999.9955062737363,lambda.min
Ta'Quon Graham,Rusher,-2.6103632688057876e-5,999.9954653520681,lambda.min
Leighton Vander Esch,Rusher,-2.655778176909645e-5,999.9953864582922,lambda.min
James Hudson III,Blocker,-2.664635352929616e-5,999.9953710718014,lambda.min
Wyatt Raymond,Rusher,-2.6653169640015184e-5,999.9953698877217,lambda.min
Oshane Ximines,Rusher,-2.6710631006945205e-5,999.9953599056599,lambda.min
Austin Johnson,Rusher,-2.6814026283572277e-5,999.9953419440607,lambda.min
Levi Onwuzurike,Rusher,-2.685528304490449e-5,999.9953347770271,lambda.min
Samson Ebukam,Rusher,-2.7429170799093257e-5,999.9952350825132,lambda.min
Christian Ringo,Rusher,-2.746506616206436e-5,999.99522884685,lambda.min
Greg Gaines,Rusher,-2.855446928547431e-5,999.9950395981439,lambda.min
John Penisini,Rusher,-2.8656863496336047e-5,999.9950218104476,lambda.min
Justin Mccray,Blocker,-2.8712291287857667e-5,999.995012181654,lambda.min
Dont'A Hightower,Rusher,-2.8779204035296413e-5,999.9950005577192,lambda.min
Trent Brown,Blocker,-2.8895808780189533e-5,999.9949803014003,lambda.min
Lorenzo Carter,Rusher,-2.900397763940092e-5,999.9949615105448,lambda.min
Leki Fotu,Rusher,-2.9177088914915492e-5,999.9949314380361,lambda.min
Dorance Armstrong,Rusher,-2.9391752129327227e-5,999.9948941472164,lambda.min
Jonathan Garvin,Rusher,-2.9461166832770764e-5,999.9948820886473,lambda.min
Sam Cosmi,Blocker,-2.9618428114417425e-5,999.9948547695645,lambda.min
Chris Wormley,Rusher,-2.9977280804933445e-5,999.9947924304672,lambda.min
Pernell Mcphee,Rusher,-3.0267807929390636e-5,999.9947419607364,lambda.min
Khalid Kareem,Rusher,-3.069827194251223e-5,999.9946671814782,lambda.min
Bravvion Roy,Rusher,-3.073550858234828e-5,999.9946607128113,lambda.min
Iosua Opeta,Blocker,-3.145372562053131e-5,999.9945359457328,lambda.min
Jesse Davis,Blocker,-3.1571843041482774e-5,999.9945154266351,lambda.min
Malik Reed,Rusher,-3.2353550549557203e-5,999.9943796301322,lambda.min
Corey Peters,Rusher,-3.279534908110067e-5,999.9943028818665,lambda.min
Michael Jordan,Blocker,-3.3265061492021396e-5,999.9942212844633,lambda.min
Bobby Okereke,Rusher,-3.331246869233724e-5,999.994213048989,lambda.min
Josiah Bronson,Rusher,-3.340106496966324e-5,999.9941976582393,lambda.min
Justin Jones,Rusher,-3.3802391418303395e-5,999.9941279406944,lambda.min
Leonard Williams,Rusher,-3.4182864441376125e-5,999.9940618457607,lambda.min
Cameron Fleming,Blocker,-3.4333479299374466e-5,999.99403568128,lambda.min
Alex Anzalone,Rusher,-3.465654653110929e-5,999.9939795587536,lambda.min
Teair Tart,Rusher,-3.4957603742175175e-5,999.9939272597594,lambda.min
Justin Britt,Blocker,-3.501387598834971e-5,999.993917484269,lambda.min
Le'Raven Clark,Blocker,-3.5050202358691176e-5,999.993911173732,lambda.min
Mike Mcglinchey,Blocker,-3.5444543572513486e-5,999.9938426696468,lambda.min
Jawaan Taylor,Blocker,-3.6280214199144964e-5,999.9936974987901,lambda.min
Jedrick Wills Jr.,Blocker,-3.653351212814365e-5,999.993653496433,lambda.min
Kingsley Keke,Rusher,-3.678488492419457e-5,999.9936098285057,lambda.min
Korey Cunningham,Blocker,-3.719997169148524e-5,999.9935377205486,lambda.min
Nate Solder,Blocker,-3.7224122238647184e-5,999.9935335251689,lambda.min
Casey Toohill,Rusher,-3.726009672477858e-5,999.9935272757606,lambda.min
Cam Robinson,Blocker,-3.7391000583664195e-5,999.9935045354312,lambda.min
John Miller,Blocker,-3.755095695120763e-5,999.9934767481641,lambda.min
Connor Mcgovern,Blocker,-3.758045997257535e-5,999.9934716229643,lambda.min
Quenton Nelson,Blocker,-3.7581966524800215e-5,999.9934713612494,lambda.min
Matt Peart,Blocker,-3.760811327402526e-5,999.9934668190938,lambda.min
Tyre Phillips,Blocker,-3.779813909493604e-5,999.9934338082276,lambda.min
Daron Payne,Rusher,-3.790803215146034e-5,999.9934147178484,lambda.min
Henry Mondeaux,Rusher,-3.793706396811713e-5,999.9934096745053,lambda.min
Conor Mcdermott,Blocker,-3.855564095552638e-5,999.9933022166764,lambda.min
Jake Matthews,Blocker,-3.8958670327384266e-5,999.9932322033035,lambda.min
Johnathan Hankins,Rusher,-3.9535259419198607e-5,999.9931320395191,lambda.min
Marcus Cannon,Blocker,-3.956703401135421e-5,999.9931265197071,lambda.min
Ryan Kelly,Blocker,-3.9685547984312634e-5,999.9931059317213,lambda.min
Carlos Watkins,Rusher,-4.028821910668331e-5,999.9930012370241,lambda.min
Mike Danna,Rusher,-4.031472510528717e-5,999.9929966324606,lambda.min
Anthony Rush,Rusher,-4.032871144991042e-5,999.9929942027837,lambda.min
Jake Curhan,Blocker,-4.0740109676721135e-5,999.9929227355918,lambda.min
Penei Sewell,Blocker,-4.0954280618246225e-5,999.9928855302885,lambda.min
Grover Stewart,Rusher,-4.140293164197857e-5,999.992807591623,lambda.min
Raekwon Davis,Rusher,-4.1747329162355e-5,999.9927477636459,lambda.min
Linval Joseph,Rusher,-4.175410774597747e-5,999.9927465860853,lambda.min
Isaiah Prince,Blocker,-4.2165418304592625e-5,999.9926751341229,lambda.min
Jordan Elliott,Rusher,-4.258096177914105e-5,999.9926029468278,lambda.min
Christian Covington,Rusher,-4.2951755711823654e-5,999.9925385333243,lambda.min
Dalvin Tomlinson,Rusher,-4.3466527599668144e-5,999.992449108288,lambda.min
Marlon Davidson,Rusher,-4.4168321666271244e-5,999.9923271941718,lambda.min
Jason Peters,Blocker,-4.532515785877215e-5,999.9921262311419,lambda.min
David Quessenberry,Blocker,-4.5340665074922824e-5,999.9921235372625,lambda.min
Cam Sample,Rusher,-4.5925904641890754e-5,999.9920218707367,lambda.min
Netane Muti,Blocker,-4.629278999979971e-5,999.9919581362221,lambda.min
Steven Means,Rusher,-4.780748750470746e-5,999.9916950063149,lambda.min
Daniel Brunskill,Blocker,-4.781870601203382e-5,999.9916930574606,lambda.min
Jerry Tillery,Rusher,-4.817817016083606e-5,999.9916306121421,lambda.min
Alex Okafor,Rusher,-4.905774827476401e-5,999.9914778137736,lambda.min
Laken Tomlinson,Blocker,-5.1019453857366735e-5,999.9911370306097,lambda.min
D.J. Reader,Rusher,-5.259920553792859e-5,999.9908625996346,lambda.min
Brady Christensen,Blocker,-5.2911043724734806e-5,999.9908084277931,lambda.min
Daryl Williams,Blocker,-5.465513646808504e-5,999.9905054478513,lambda.min
Zach Allen,Rusher,-5.489541580822648e-5,999.9904637070548,lambda.min
Jalen Mayfield,Blocker,-5.4895546456513254e-5,999.9904636843588,lambda.min
Dexter Lawrence,Rusher,-5.52399907616551e-5,999.9904038482545,lambda.min
Bobby Massie,Blocker,-5.616176143036311e-5,999.9902437202884,lambda.min
Brandon Shell,Blocker,-5.693794177976058e-5,999.9901088839513,lambda.min
Blake Hance,Blocker,-5.74005003625866e-5,999.9900285292953,lambda.min
Naquan Jones,Rusher,-5.754590635606731e-5,999.990003269687,lambda.min
Bilal Nichols,Rusher,-5.8123267399537665e-5,999.9899029718009,lambda.min
Dion Dawkins,Blocker,-5.913539226398122e-5,999.9897271477035,lambda.min
Cameron Erving,Blocker,-5.9250773687837636e-5,999.9897071038972,lambda.min
Isaiahh Loudermilk,Rusher,-5.9523033293928045e-5,999.9896598075594,lambda.min
Storm Norton,Blocker,-5.9623218618158056e-5,999.989642403586,lambda.min
Adetokunbo Ogundeji,Rusher,-6.07269587389224e-5,999.9894506642885,lambda.min
Alex Leatherwood,Blocker,-6.346883519563681e-5,999.9889743515623,lambda.min
Christian Darrisaw,Blocker,-6.356073824259657e-5,999.9889583863679,lambda.min
Alex Mack,Blocker,-6.392413135507179e-5,999.9888952585185,lambda.min
Kerry Hyder Jr.,Rusher,-6.60666700674951e-5,999.9885230614225,lambda.min
Shy Tuttle,Rusher,-6.721709445025302e-5,999.9883232122379,lambda.min
Derrick Nnadi,Rusher,-6.817854300962276e-5,999.9881561915164,lambda.min
Josh Tupou,Rusher,-6.91715675426492e-5,999.9879836854864,lambda.min
Shamar Stephen,Rusher,-6.960907400651442e-5,999.9879076828291,lambda.min
Aaron Brewer,Blocker,-7.120085850588694e-5,999.9876311615393,lambda.min
George Fant,Blocker,-7.128227977211948e-5,999.9876170172166,lambda.min
Arik Armstead,Rusher,-7.188171796132959e-5,999.9875128841376,lambda.min
Duane Brown,Blocker,-7.270681751655317e-5,999.987369549664,lambda.min
Deshawn Williams,Rusher,-7.300551775794235e-5,999.9873176601174,lambda.min
Adam Butler,Rusher,-7.472495246663646e-5,999.987018963715,lambda.min
Jonah Williams,Blocker,-7.585009895312982e-5,999.9868235057509,lambda.min
Brandon Williams,Rusher,-7.882661394118818e-5,999.986306432137,lambda.min
Dennis Daley,Blocker,-8.213345683857586e-5,999.9857319746878,lambda.min
Tom Compton,Blocker,-8.296356026315247e-5,999.9855877709531,lambda.min
Isaiah Wynn,Blocker,-8.357838728625652e-5,999.9854809645598,lambda.min
Spencer Brown,Blocker,-8.395901088496995e-5,999.9854148434683,lambda.min
Justin Ellis,Rusher,-8.748564986673723e-5,999.9848022035285,lambda.min
Dean Lowry,Rusher,-8.750702593971979e-5,999.9847984901244,lambda.min
Michael Brockers,Rusher,-8.934070580657728e-5,999.9844799473052,lambda.min
Hakeem Adeniji,Blocker,-9.051542644676193e-5,999.9842758774284,lambda.min
Eric Fisher,Blocker,-9.15342760143906e-5,999.9840988851305,lambda.min
Sheldon Richardson,Rusher,-9.761182931206315e-5,999.9830431059862,lambda.min
Malik Jackson,Rusher,-9.781815863865305e-5,999.983007262911,lambda.min
Mark Glowinski,Blocker,-1.0061699351613129e-4,999.9825210554937,lambda.min
Charlie Heck,Blocker,-1.0205680992927352e-4,999.9822709337645,lambda.min
Ryan Jensen,Blocker,-1.038023873838018e-4,999.981967695902,lambda.min
Taylor Lewan,Blocker,-1.055546951161996e-4,999.9816632888705,lambda.min
Morgan Moses,Blocker,-1.0689307464162899e-4,999.9814307885334,lambda.min
D.J. Wonnum,Rusher,-1.0846822684447072e-4,999.9811571565696,lambda.min
Nick Williams,Rusher,-1.1010914794804067e-4,999.9808720993773,lambda.min
Kaleb McGary,Blocker,-1.10691431440376e-4,999.9807709463743,lambda.min
Cameron Heyward,Rusher,-1.1290509682407689e-4,999.9803863933099,lambda.min
D.J. Humphries,Blocker,-1.2960988468305035e-4,999.9774844744345,lambda.min
Liam Eichenberg,Blocker,-1.544632398757534e-4,999.9731670044278,lambda.min
