player_name,role,weighted_severity_logit_score,coefficient_source
Ifeadi Odenigbo,Rusher,-0.07379982673406002,lambda.min
Laurent Duvernay-Tardif,Blocker,-0.07403952338997244,lambda.min
Dan Moore Jr.,Blocker,-0.07444080012899477,lambda.min
T.J. Slaton,Rusher,-0.07462659142281422,lambda.min
Tommy Doyle,Blocker,-0.07491929863243824,lambda.min
Devin Bush,Rusher,-0.07537501924085777,lambda.min
Tim Settle,Rusher,-0.07539970197633135,lambda.min
Baron Browning,Rusher,-0.07574969448680763,lambda.min
Shaq Thompson,Rusher,-0.0764237134299798,lambda.min
Andrew Thomas,Blocker,-0.07652828765126207,lambda.min
Devon Kennard,Rusher,-0.07660062535581898,lambda.min
Patrick Queen,Rusher,-0.07665179205540336,lambda.min
Storm Norton,Blocker,-0.07725334046137891,lambda.min
Myles Jack,Rusher,-0.07732582284442067,lambda.min
Dayo Odeyingbo,Rusher,-0.07742880266268064,lambda.min
Khalen Saunders,Rusher,-0.07795294428113134,lambda.min
Jalen Reeves-Maybin,Rusher,-0.07829640541148132,lambda.min
Christian Wilkins,Rusher,-0.07832836710854951,lambda.min
Kerry Hyder Jr.,Rusher,-0.078637707920574,lambda.min
Deion Jones,Rusher,-0.07875566177075857,lambda.min
Ogbonnia Okoronkwo,Rusher,-0.07947964896734591,lambda.min
Kyle Fuller,Blocker,-0.07987040384767036,lambda.min
Oshane Ximines,Rusher,-0.07996407862751881,lambda.min
A'Shawn Robinson,Rusher,-0.08070848574976158,lambda.min
Michael Dunn,Blocker,-0.08098716757853312,lambda.min
Andrew Van Ginkel,Rusher,-0.08102907855075492,lambda.min
Bruce Irvin,Rusher,-0.08107303296440758,lambda.min
Larrell Murchison,Rusher,-0.08130524911318959,lambda.min
John Jenkins,Rusher,-0.08153763951270898,lambda.min
Ty Nsekhe,Blocker,-0.08189206845590088,lambda.min
Charles Leno Jr.,Blocker,-0.08259917176401121,lambda.min
Jarran Reed,Rusher,-0.08265710558095192,lambda.min
Kamu Grugier-Hill,Rusher,-0.08269186594154199,lambda.min
Julie'N Davenport,Blocker,-0.08282222833069498,lambda.min
Adetokunbo Ogundeji,Rusher,-0.08309514330402189,lambda.min
Quincy Williams,Rusher,-0.08332051201485492,lambda.min
Sam Cosmi,Blocker,-0.0834498195175405,lambda.min
Christian Darrisaw,Blocker,-0.08448782803698382,lambda.min
