player_name,role,mean_score,sd_score,q025,q25,q50,q75,q975,n_boot,observed_score,played_this_week,week_index,week_label,week_num,week_source,cumulative_games,cumulative_rows,iterations,fixed_lambda,bootstrap_scope
Quinton Spain,Blocker,0.24608754445442113,0.2746648001521762,0,0,0,0.5377839316923598,0.7070578251664004,100,0.38965911249933316,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Rashawn Slater,Blocker,0.22756271162326494,0.2655381405211277,0,0,0,0.36777922801993423,0.7926850481021054,100,0.3866178523979418,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Taylor Moton,Blocker,0.21483310619066973,0.2615283069249395,0,0,0,0.34864460915422546,0.8258611169256984,100,0.37684305007324587,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Brian O'Neill,Blocker,0.20302542135458712,0.2316686194978592,0,0,0,0.4423056956983664,0.5994117752844155,100,0.3056642754625106,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Dalton Risner,Blocker,0.1963578056166553,0.23363681938004122,0,0,0,0.3463712599463531,0.6265226503301615,100,0.36785177637753896,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Olisaemeka Udoh,Blocker,0.19292070411369894,0.2166389418797489,0,0,0,0.418902577278645,0.562765339975072,100,0.30669565316219416,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Garett Bolles,Blocker,0.19004355091423597,0.2227146338754853,0,0,0,0.34708522921616297,0.5833901424517863,100,0.36379045334070875,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Corey Linsley,Blocker,0.18716564725280868,0.2229104139603553,0,0,0,0.2955582072564347,0.6858146477674334,100,0.3106443176845882,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Max Scharping,Blocker,0.17917325749515314,0.1932702827662677,0,0,0,0.30763018741404147,0.5115046050009391,100,0.32454591505872155,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
Jordan Mailata,Blocker,0.17914192037799298,0.22124379574955633,0,0,0,0.2848028710949647,0.6609894055044383,100,0.2969582904927447,TRUE,1,01,1,lookup,15,9366,100,7.337467970651383e-5,weekly_cumulative_refit
