class,term,coef
loss,rusher::Christian Wilkins,-0.08070024097026979
loss,rusher::Clay Johnston,0.016676881391616674
loss,rusher::Clelin Ferrell,-0.03926268598604963
loss,rusher::Cody Barton,-0.2581991892081121
loss,rusher::Cole Holcomb,-0.11027845572812407
loss,rusher::Corey Peters,0.11532844452885944
loss,rusher::Cortez Broughton,0.06636908396195604
loss,rusher::Cory Littleton,0.08283795991817497
loss,rusher::Curtis Robinson,-0.009763276953649366
loss,rusher::Curtis Weaver,0.01342784960806285
loss,rusher::D.J. Jones,-0.07460447021176862
loss,rusher::D.J. Reader,0.0503389550395759
loss,rusher::D.J. Wonnum,0.2587564599296847
loss,rusher::Da'Shawn Hand,0.18518528504176224
loss,rusher::Daelin Hayes,0.01193512865119404
loss,rusher::Dakota Allen,0.21613690833595775
loss,rusher::Dalvin Tomlinson,0.009527476901211161
loss,rusher::Damien Wilson,0.04416785154654537
loss,rusher::Damion Square,-0.04819828749884583
loss,rusher::Daniel Archibong,-0.06780535573750185
loss,rusher::Daniel Ekuale,-0.16940965664998298
loss,rusher::Daniel Wise,0.09411820819824589
loss,rusher::Danielle Hunter,-0.11085147299597684
loss,rusher::Danny Shelton,0.09687641133247668
loss,rusher::Danny Trevathan,0.041044700515206436
loss,rusher::Dante Fowler Jr.,0.014590473339022494
loss,rusher::Daquan Jones,-0.0854343164428672
loss,rusher::Darius Hodges,0.04039914928197596
loss,rusher::Darius Leonard,-0.13086148065155465
loss,rusher::Darius Philon,-0.28508471239332167
loss,rusher::Daron Payne,0.010591971195276367
loss,rusher::Darrell Taylor,-0.2271688622840847
loss,rusher::Darryl Johnson,-0.04065066455692682
loss,"rusher::David Long, Jr.",-0.24077074738259419
loss,rusher::David Mayo,0.08587710404241002
loss,rusher::David Moa,-0.16973931563712338
loss,rusher::David Onyemata,-0.13212470296547424
loss,rusher::Davion Taylor,0.1138022020877998
loss,rusher::Daviyon Nixon,-0.03893878381972246
loss,rusher::Davon Godchaux,-0.07995711750964016
loss,rusher::Davon Hamilton,-0.11125737786686296
loss,rusher::Dawuane Smoot,-0.07786052840935782
loss,rusher::Dayo Odeyingbo,0.10654726510996188
loss,rusher::De'Vondre Campbell,-0.02976004676885274
loss,rusher::Dean Lowry,0.18787967231548577
loss,rusher::DeAngelo Malone,0.017099573238414385
loss,rusher::Deatrich Wise Jr.,0.1307457317411837
loss,rusher::Dee Ford,0.10765657775020007
loss,rusher::Deforest Buckner,-0.2434715255042986
loss,rusher::Deion Jones,-0.0440012697095961
loss,rusher::Del'Shawn Phillips,-0.011049313498493482
loss,rusher::Delontae Scott,0.032849774297884896
loss,rusher::DeMarcus Lawrence,-0.07779883278402731
loss,rusher::Demarcus Walker,-0.06566285235071631
loss,rusher::Demario Davis,7.566693014130591e-4
loss,rusher::Demetrius Flannigan-Fowles,0.1624649893230107
loss,rusher::Demone Harris,0.17854460242988354
loss,rusher::Denico Autry,-0.19510260476328323
loss,rusher::Dennis Gardeck,0.05955865970101529
loss,rusher::Denzel Perryman,-0.013199339926026
loss,rusher::Derek Barnett,-0.020521657135412655
loss,rusher::Derek Rivers,0.18428692659119203
loss,rusher::Derick Roberson,-0.31331585068095535
loss,rusher::Derrek Tuszka,0.0769782627751199
loss,rusher::Derrick Barnes,-0.03319033410476102
loss,rusher::Derrick Brown,-0.11651449046735482
loss,rusher::Derrick Nnadi,0.1257452249222371
loss,rusher::Deshawn Williams,0.14146813134394318
loss,rusher::Devin Bush,0.08290131207265801
loss,rusher::Devin White,0.04377538880410673
loss,rusher::Devon Kennard,0.0704560497619941
loss,rusher::Dexter Lawrence,0.10873584831734481
loss,rusher::Divine Deablo,0.3055274500430383
loss,rusher::Dont'A Hightower,0.21394623412538288
loss,rusher::Dorance Armstrong,0.1711687503247525
loss,rusher::Dorian O'Daniel,-0.04142223718640683
loss,rusher::Doug Costin,0.17743128555517074
loss,rusher::Dre Greenlaw,-0.13422469185639788
loss,rusher::Dre'Mont Jones,-0.0764135134870558
loss,rusher::Drue Tranquill,-0.03570248602147112
